,search,open,mfdataset,compute
0,0.6209907531738281,0.0828092098236084,1.8091213703155518,1.1085054874420166
1,0.5573647022247314,0.03031325340270996,2.0317018032073975,2.0575830936431885
2,0.5640935897827148,0.07070016860961914,3.0070338249206543,3.3426685333251953
3,0.5682551860809326,0.04564070701599121,2.523473024368286,2.1668717861175537
4,0.5743508338928223,0.03645920753479004,2.1362247467041016,2.3813352584838867
5,0.6983933448791504,0.10188841819763184,5.705339670181274,6.562429904937744
6,0.5797183513641357,0.029255151748657227,1.198287010192871,0.7679989337921143
7,0.6045970916748047,0.030200481414794922,0.7475743293762207,0.5369131565093994
8,0.5355281829833984,0.041448354721069336,3.809857130050659,3.8114712238311768
9,0.530980110168457,0.031467437744140625,1.1110832691192627,0.9106829166412354
10,0.5720412731170654,0.03388047218322754,1.4268555641174316,0.7200281620025635
11,0.5336191654205322,0.04031705856323242,4.0882298946380615,4.770500659942627
12,0.6062982082366943,0.03182339668273926,1.349531650543213,0.7805323600769043
13,0.5395331382751465,0.038857460021972656,2.4592275619506836,1.9934399127960205
14,0.5328900814056396,0.03101372718811035,1.4234755039215088,0.47315526008605957
