Q,max_south_extent,max_landfalling_v850hPa
10.456158080898497,-85,22.226434326171876
10.456158080898497,-84.15789473684211,22.226434326171876
10.456158080898497,-83.3157894736842,22.226434326171876
10.456158080898497,-82.47368421052632,22.226434326171876
10.456158080898497,-81.63157894736842,22.226434326171876
10.456158080898497,-80.78947368421052,22.226434326171876
10.456158080898497,-79.94736842105263,22.226434326171876
10.023763458890247,-79.10526315789474,22.226434326171876
10.023763458890247,-78.26315789473685,22.226434326171876
10.023763458890247,-77.42105263157895,22.226434326171876
10.023763458890247,-76.57894736842105,22.226434326171876
10.023763458890247,-75.73684210526315,22.226434326171876
10.023763458890247,-74.89473684210526,22.226434326171876
10.023763458890247,-74.05263157894737,22.226434326171876
10.023763458890247,-73.21052631578948,22.226434326171876
10.023763458890247,-72.36842105263158,22.226434326171876
10.023763458890247,-71.52631578947368,22.226434326171876
10.023763458890247,-70.6842105263158,22.226434326171876
10.023763458890247,-69.84210526315789,22.226434326171876
10.023763458890247,-69,22.226434326171876
10.456158080898497,-85,23.045757936176503
10.456158080898497,-84.15789473684211,23.045757936176503
10.456158080898497,-83.3157894736842,23.045757936176503
10.456158080898497,-82.47368421052632,23.045757936176503
10.456158080898497,-81.63157894736842,23.045757936176503
10.456158080898497,-80.78947368421052,23.045757936176503
10.456158080898497,-79.94736842105263,23.045757936176503
10.023763458890247,-79.10526315789474,23.045757936176503
10.023763458890247,-78.26315789473685,23.045757936176503
10.023763458890247,-77.42105263157895,23.045757936176503
10.023763458890247,-76.57894736842105,23.045757936176503
10.023763458890247,-75.73684210526315,23.045757936176503
10.023763458890247,-74.89473684210526,23.045757936176503
10.023763458890247,-74.05263157894737,23.045757936176503
10.023763458890247,-73.21052631578948,23.045757936176503
10.023763458890247,-72.36842105263158,23.045757936176503
10.023763458890247,-71.52631578947368,23.045757936176503
10.023763458890247,-70.6842105263158,23.045757936176503
10.023763458890247,-69.84210526315789,23.045757936176503
10.023763458890247,-69,23.045757936176503
