Q,cumulative_landfalling_area
0.08028261569964396,3832.531823867516
0.25895560944268625,28911.44589620196
0.3314697268813744,53990.3599685364
0.38437242814366873,79069.27404087083
0.46938721666364885,104148.18811320528
0.46938721666364885,129227.10218553973
0.46938721666364885,154306.01625787417
0.5910985096273476,179384.93033020862
0.6226827923655271,204463.84440254307
0.6226827923655271,229542.7584748775
0.6226827923655271,254621.67254721196
0.6226827923655271,279700.5866195464
0.6226827923655271,304779.5006918808
0.6607127475615032,329858.4147642153
0.6607127475615032,354937.3288365497
0.6799995401416952,380016.2429088842
0.6799995401416952,405095.1569812186
0.7320564812245156,430174.071053553
0.7801280596734702,455252.9851258875
0.8011925695713394,480331.8991982219
0.7921049013347298,505410.8132705564
0.7472813139072727,530489.7273428908
0.7472813139072727,555568.6414152252
0.7472813139072727,580647.5554875596
0.7475163698862218,605726.4695598941
0.7402811957851759,630805.3836322285
0.7402811957851759,655884.297704563
0.7402811957851759,680963.2117768974
0.7015939534185637,706042.1258492318
0.7015939534185637,731121.0399215663
0.7015939534185637,756199.9539939008
0.7015939534185637,781278.8680662352
0.7015939534185637,806357.7821385696
0.7015939534185637,831436.696210904
0.7015939534185637,856515.6102832385
0.7015939534185637,881594.524355573
0.7015939534185637,906673.4384279074
0.7015939534185637,931752.3525002418
0.7350738453675236,956831.2665725762
0.752292836556374,981910.1806449108
0.752292836556374,1006989.0947172452
0.752292836556374,1032068.0087895796
0.752292836556374,1057146.9228619142
0.7827365880868232,1082225.8369342485
0.7827365880868232,1107304.751006583
0.7827365880868232,1132383.6650789173
0.7827365880868232,1157462.5791512518
0.7827365880868232,1182541.4932235864
0.7827365880868232,1207620.4072959207
0.7827365880868232,1232699.3213682552
