Q,max_IWV_ais
0.8411341971577618,6.5838569641113285
0.8411341971577618,6.787542895881497
0.8411341971577618,6.991228827651667
0.8580385102264324,7.1949147594218354
1.0583857688285898,7.398600691192004
1.2050652121475545,7.602286622962174
1.2050652121475545,7.805972554732342
1.2050652121475545,8.009658486502511
1.18101351372934,8.21334441827268
1.18101351372934,8.417030350042848
1.18101351372934,8.620716281813017
1.18101351372934,8.824402213583188
1.1819452212150663,9.028088145353356
1.1819452212150663,9.231774077123525
1.2067935658504476,9.435460008893694
1.8710992250492897,9.639145940663862
2.0117764993731972,9.842831872434033
1.9988556217354752,10.046517804204202
1.9988556217354752,10.25020373597437
1.9988556217354752,10.453889667744539
1.9988556217354752,10.657575599514708
2.584175833967762,10.861261531284878
2.584175833967762,11.064947463055045
2.584175833967762,11.268633394825216
2.584175833967762,11.472319326595384
2.584175833967762,11.676005258365553
2.584175833967762,11.879691190135722
2.584175833967762,12.08337712190589
2.584175833967762,12.28706305367606
2.584175833967762,12.490748985446228
2.584175833967762,12.694434917216398
2.584175833967762,12.898120848986567
2.584175833967762,13.101806780756736
4.131708136166054,13.305492712526904
4.131708136166054,13.509178644297073
4.231385565737881,13.712864576067243
14.824809980413228,13.91655050783741
14.824809980413228,14.12023643960758
14.824809980413228,14.32392237137775
14.824809980413228,14.527608303147918
14.824809980413228,14.731294234918087
14.824809980413228,14.934980166688256
14.824809980413228,15.138666098458426
13.21672614830679,15.342352030228595
13.21672614830679,15.546037961998763
13.21672614830679,15.749723893768932
13.21672614830679,15.9534098255391
13.21672614830679,16.15709575730927
13.78551917725845,16.360781689079438
23.98409411729046,16.56446762084961
