Q,max_south_extent
10.643698780210858,-85
10.643698780210858,-84.6734693877551
10.643698780210858,-84.34693877551021
10.643698780210858,-84.0204081632653
10.643698780210858,-83.6938775510204
10.643698780210858,-83.36734693877551
10.643698780210858,-83.04081632653062
10.643698780210858,-82.71428571428571
10.643698780210858,-82.38775510204081
10.643698780210858,-82.06122448979592
10.643698780210858,-81.73469387755102
10.643698780210858,-81.40816326530613
10.643698780210858,-81.08163265306122
10.643698780210858,-80.75510204081633
10.643698780210858,-80.42857142857143
10.643698780210858,-80.10204081632654
10.643698780210858,-79.77551020408163
10.643698780210858,-79.44897959183673
10.202128227827416,-79.12244897959184
10.202128227827416,-78.79591836734694
10.202128227827416,-78.46938775510205
10.202128227827416,-78.14285714285714
10.202128227827416,-77.81632653061224
10.202128227827416,-77.48979591836735
10.202128227827416,-77.16326530612245
10.202128227827416,-76.83673469387755
10.202128227827416,-76.51020408163265
10.202128227827416,-76.18367346938776
10.202128227827416,-75.85714285714286
10.202128227827416,-75.53061224489795
10.202128227827416,-75.20408163265306
10.202128227827416,-74.87755102040816
10.202128227827416,-74.55102040816327
10.202128227827416,-74.22448979591837
10.202128227827416,-73.89795918367346
10.202128227827416,-73.57142857142857
10.202128227827416,-73.24489795918367
10.202128227827416,-72.91836734693878
10.202128227827416,-72.59183673469389
10.202128227827416,-72.26530612244898
10.202128227827416,-71.93877551020408
10.202128227827416,-71.61224489795919
10.202128227827416,-71.28571428571429
10.202128227827416,-70.95918367346938
10.202128227827416,-70.63265306122449
10.202128227827416,-70.3061224489796
10.202128227827416,-69.9795918367347
10.202128227827416,-69.65306122448979
10.202128227827416,-69.3265306122449
10.202128227827416,-69
