cumulative_landfalling_area,max_south_extent,max_IWV_ais,max_ocean_SLP_gradient,max_landfalling_v850hPa,avg_landfalling_minomega
3953.149500911003,-74.5,12.66761589050293,2.723315897715308,22.372718811035156,-0.665974878359835
1056738.939490314,-85,17.052793502807617,5.760826610385811,33.91910934448242,-0.359295863142514
18469.93917047007,-73,6.479457378387451,4.187236438829695,17.015430450439453,-0.9773663750096768
851463.4596579113,-85,10.981760025024414,4.16437345328978,28.197904586791992,-0.7836850919538896
624567.7706843104,-78,12.329338073730469,6.154745269281278,39.30295181274414,-0.5689972691292102
748450.17422508,-85,7.27196216583252,4.896570721363407,36.02071762084961,-0.9649230975836888
315735.51465077675,-73.5,12.228570938110352,4.618675682856829,37.79111862182617,-1.0409812629222877
1142276.6255961517,-85,11.116518020629885,5.362430762600591,22.327844619750977,-0.5979561895030365
429473.0759938114,-85,9.827241897583008,6.367355700726027,27.16132164001465,-0.874840124487806
1410539.0395427924,-85,10.868144035339355,7.402420161190618,29.095497131347656,-0.5562861715082421
64142.37569220399,-85,8.79530143737793,2.9137042733926224,22.114606857299805,-0.34803794584690717
243258.40824347257,-85,15.283428192138672,3.892098938220137,30.30401039123535,-0.744747088167207
16031.43534230314,-70.5,10.744003295898438,6.130347791379928,26.55228042602539,-0.7389573300836154
12219.61747073646,-73.5,10.402198791503906,6.140193386395424,36.151119232177734,-1.1526787162561507
299792.3700486676,-79,10.995661735534668,6.904050320752303,28.473608016967773,-0.896000490141186
37719.42512129184,-69.5,8.442239761352539,7.634881197505672,39.40672302246094,-0.7657010690681878
77842.53122601469,-71.5,10.753348350524902,5.321691371386062,30.66094970703125,-0.7709877486659329
24265.34387275152,-73,8.463006973266602,6.564735614375168,22.86532974243164,-0.8479193728744794
5310.977041146018,-67.5,8.494959831237793,5.559766912886984,31.694673538208008,-0.942305453593454
999839.1725310484,-85,15.54893398284912,5.9284071589864755,37.49247360229492,-0.9452009432656392
