Q,max_south_extent,max_landfalling_v850hPa
17.081799884306104,-85,9.303757667541504
17.081799884306104,-84.58163265306122,9.303757667541504
17.081799884306104,-84.16326530612245,9.303757667541504
17.081799884306104,-83.74489795918367,9.303757667541504
17.081799884306104,-83.3265306122449,9.303757667541504
17.081799884306104,-82.90816326530613,9.303757667541504
17.081799884306104,-82.48979591836735,9.303757667541504
17.081799884306104,-82.07142857142857,9.303757667541504
17.081799884306104,-81.65306122448979,9.303757667541504
17.081799884306104,-81.23469387755102,9.303757667541504
17.081799884306104,-80.81632653061224,9.303757667541504
17.081799884306104,-80.39795918367346,9.303757667541504
17.081799884306104,-79.9795918367347,9.303757667541504
17.081799884306104,-79.56122448979592,9.303757667541504
17.081799884306104,-79.14285714285714,9.303757667541504
17.081799884306104,-78.72448979591837,9.303757667541504
17.081799884306104,-78.3061224489796,9.303757667541504
17.081800551755705,-77.88775510204081,9.303757667541504
17.081800551755705,-77.46938775510205,9.303757667541504
17.081800551755705,-77.05102040816327,9.303757667541504
17.081800551755705,-76.63265306122449,9.303757667541504
17.081800551755705,-76.21428571428571,9.303757667541504
17.081800551755705,-75.79591836734694,9.303757667541504
17.081800551755705,-75.37755102040816,9.303757667541504
17.081800551755705,-74.95918367346938,9.303757667541504
17.081800551755705,-74.54081632653062,9.303757667541504
17.081800551755705,-74.12244897959184,9.303757667541504
16.786628981125972,-73.70408163265306,9.303757667541504
16.786628981125972,-73.28571428571428,9.303757667541504
16.786628981125972,-72.86734693877551,9.303757667541504
16.786628319703087,-72.44897959183673,9.303757667541504
16.786628319703087,-72.03061224489795,9.303757667541504
16.786628319703087,-71.61224489795919,9.303757667541504
16.786628319703087,-71.1938775510204,9.303757667541504
16.786628319703087,-70.77551020408163,9.303757667541504
16.786628319703087,-70.35714285714286,9.303757667541504
16.786628319703087,-69.93877551020408,9.303757667541504
16.786628319703087,-69.5204081632653,9.303757667541504
16.786628319703087,-69.10204081632654,9.303757667541504
16.786628319703087,-68.68367346938776,9.303757667541504
16.786628319703087,-68.26530612244898,9.303757667541504
16.786628319703087,-67.84693877551021,9.303757667541504
16.786628319703087,-67.42857142857143,9.303757667541504
16.786628319703087,-67.01020408163265,9.303757667541504
16.786628319703087,-66.59183673469389,9.303757667541504
16.786628319703087,-66.1734693877551,9.303757667541504
16.786628319703087,-65.75510204081633,9.303757667541504
16.786628319703087,-65.33673469387755,9.303757667541504
16.786628319703087,-64.91836734693877,9.303757667541504
