Q,max_south_extent,avg_landfalling_minomega
0.8126587585814146,-85,-1.813508185473356
0.7998197558875606,-84.56122448979592,-1.813508185473356
0.7998197558875606,-84.12244897959184,-1.813508185473356
0.7998197558875606,-83.68367346938776,-1.813508185473356
0.7998197558875606,-83.24489795918367,-1.813508185473356
0.7998197558875606,-82.8061224489796,-1.813508185473356
0.7998197558875606,-82.36734693877551,-1.813508185473356
0.7998197558875606,-81.92857142857143,-1.813508185473356
0.7998197558875606,-81.48979591836735,-1.813508185473356
0.7998197558875606,-81.05102040816327,-1.813508185473356
0.7998197558875606,-80.61224489795919,-1.813508185473356
0.7998197558875606,-80.1734693877551,-1.813508185473356
0.7998197558875606,-79.73469387755102,-1.813508185473356
0.7998197558875606,-79.29591836734694,-1.813508185473356
0.7998197558875606,-78.85714285714286,-1.813508185473356
0.7998197558875606,-78.41836734693878,-1.813508185473356
0.7998197558875606,-77.9795918367347,-1.813508185473356
0.7998197558875606,-77.54081632653062,-1.813508185473356
0.7998197558875606,-77.10204081632654,-1.813508185473356
0.7998197558875606,-76.66326530612245,-1.813508185473356
0.7998197558875606,-76.22448979591837,-1.813508185473356
0.7998197558875606,-75.78571428571429,-1.813508185473356
0.7998197558875606,-75.34693877551021,-1.813508185473356
0.7998197558875606,-74.90816326530611,-1.813508185473356
0.7998197558875606,-74.46938775510205,-1.813508185473356
0.7998197558875606,-74.03061224489795,-1.813508185473356
0.7998197558875606,-73.59183673469389,-1.813508185473356
0.7998197558875606,-73.15306122448979,-1.813508185473356
0.7998197558875606,-72.71428571428572,-1.813508185473356
0.7998197558875606,-72.27551020408163,-1.813508185473356
0.7998197558875606,-71.83673469387755,-1.813508185473356
0.7998197558875606,-71.39795918367346,-1.813508185473356
0.7998197558875606,-70.95918367346938,-1.813508185473356
0.7998197558875606,-70.5204081632653,-1.813508185473356
0.7998197558875606,-70.08163265306122,-1.813508185473356
0.7998197558875606,-69.64285714285714,-1.813508185473356
0.7998197558875606,-69.20408163265306,-1.813508185473356
0.7998197558875606,-68.76530612244898,-1.813508185473356
0.7998197558875606,-68.3265306122449,-1.813508185473356
0.7998197558875606,-67.88775510204081,-1.813508185473356
0.7998197558875606,-67.44897959183673,-1.813508185473356
0.7998197558875606,-67.01020408163265,-1.813508185473356
1660488742603961.5,-66.57142857142857,-1.813508185473356
1660488742603961.5,-66.13265306122449,-1.813508185473356
1660488742603961.5,-65.6938775510204,-1.813508185473356
1660488742603961.5,-65.25510204081633,-1.813508185473356
1660488742603961.5,-64.81632653061224,-1.813508185473356
1660488742603961.5,-64.37755102040816,-1.813508185473356
1660488742603961.5,-63.93877551020408,-1.813508185473356
1660488742603961.5,-63.5,-1.813508185473356
0.8126587585814146,-85,-1.7777659679332785
0.7998197558875606,-84.56122448979592,-1.7777659679332785
0.7998197558875606,-84.12244897959184,-1.7777659679332785
0.7998197558875606,-83.68367346938776,-1.7777659679332785
0.7998197558875606,-83.24489795918367,-1.7777659679332785
0.7998197558875606,-82.8061224489796,-1.7777659679332785
0.7998197558875606,-82.36734693877551,-1.7777659679332785
0.7998197558875606,-81.92857142857143,-1.7777659679332785
0.7998197558875606,-81.48979591836735,-1.7777659679332785
0.7998197558875606,-81.05102040816327,-1.7777659679332785
0.7998197558875606,-80.61224489795919,-1.7777659679332785
0.7998197558875606,-80.1734693877551,-1.7777659679332785
0.7998197558875606,-79.73469387755102,-1.7777659679332785
0.7998197558875606,-79.29591836734694,-1.7777659679332785
0.7998197558875606,-78.85714285714286,-1.7777659679332785
0.7998197558875606,-78.41836734693878,-1.7777659679332785
0.7998197558875606,-77.9795918367347,-1.7777659679332785
0.7998197558875606,-77.54081632653062,-1.7777659679332785
0.7998197558875606,-77.10204081632654,-1.7777659679332785
0.7998197558875606,-76.66326530612245,-1.7777659679332785
0.7998197558875606,-76.22448979591837,-1.7777659679332785
0.7998197558875606,-75.78571428571429,-1.7777659679332785
0.7998197558875606,-75.34693877551021,-1.7777659679332785
0.7998197558875606,-74.90816326530611,-1.7777659679332785
0.7998197558875606,-74.46938775510205,-1.7777659679332785
0.7998197558875606,-74.03061224489795,-1.7777659679332785
0.7998197558875606,-73.59183673469389,-1.7777659679332785
0.7998197558875606,-73.15306122448979,-1.7777659679332785
0.7998197558875606,-72.71428571428572,-1.7777659679332785
0.7998197558875606,-72.27551020408163,-1.7777659679332785
0.7998197558875606,-71.83673469387755,-1.7777659679332785
0.7998197558875606,-71.39795918367346,-1.7777659679332785
0.7998197558875606,-70.95918367346938,-1.7777659679332785
0.7998197558875606,-70.5204081632653,-1.7777659679332785
0.7998197558875606,-70.08163265306122,-1.7777659679332785
0.7998197558875606,-69.64285714285714,-1.7777659679332785
0.7998197558875606,-69.20408163265306,-1.7777659679332785
0.7998197558875606,-68.76530612244898,-1.7777659679332785
0.7998197558875606,-68.3265306122449,-1.7777659679332785
0.7998197558875606,-67.88775510204081,-1.7777659679332785
0.7998197558875606,-67.44897959183673,-1.7777659679332785
0.7998197558875606,-67.01020408163265,-1.7777659679332785
1660488742603961.5,-66.57142857142857,-1.7777659679332785
1660488742603961.5,-66.13265306122449,-1.7777659679332785
1660488742603961.5,-65.6938775510204,-1.7777659679332785
1660488742603961.5,-65.25510204081633,-1.7777659679332785
1660488742603961.5,-64.81632653061224,-1.7777659679332785
1660488742603961.5,-64.37755102040816,-1.7777659679332785
1660488742603961.5,-63.93877551020408,-1.7777659679332785
1660488742603961.5,-63.5,-1.7777659679332785
0.8126587585814146,-85,-1.742023750393201
0.7998197558875606,-84.56122448979592,-1.742023750393201
0.7998197558875606,-84.12244897959184,-1.742023750393201
0.7998197558875606,-83.68367346938776,-1.742023750393201
0.7998197558875606,-83.24489795918367,-1.742023750393201
0.7998197558875606,-82.8061224489796,-1.742023750393201
0.7998197558875606,-82.36734693877551,-1.742023750393201
0.7998197558875606,-81.92857142857143,-1.742023750393201
0.7998197558875606,-81.48979591836735,-1.742023750393201
0.7998197558875606,-81.05102040816327,-1.742023750393201
0.7998197558875606,-80.61224489795919,-1.742023750393201
0.7998197558875606,-80.1734693877551,-1.742023750393201
0.7998197558875606,-79.73469387755102,-1.742023750393201
0.7998197558875606,-79.29591836734694,-1.742023750393201
0.7998197558875606,-78.85714285714286,-1.742023750393201
0.7998197558875606,-78.41836734693878,-1.742023750393201
0.7998197558875606,-77.9795918367347,-1.742023750393201
0.7998197558875606,-77.54081632653062,-1.742023750393201
0.7998197558875606,-77.10204081632654,-1.742023750393201
0.7998197558875606,-76.66326530612245,-1.742023750393201
0.7998197558875606,-76.22448979591837,-1.742023750393201
