Q,cumulative_landfalling_area,max_south_extent
0.014251673960650621,177,-85
0.37950483498053245,149889.7142857143,-85
0.5052082587989818,299602.4285714286,-85
0.6850744498258352,449315.14285714284,-85
0.6850744498258352,599027.8571428572,-85
0.7378935075437629,748740.5714285715,-85
0.7378935075437629,898453.2857142857,-85
0.7378935075437629,1048166,-85
0.9092479685679211,1197878.7142857143,-85
0.9092479685679211,1347591.4285714286,-85
0.9092479685679211,1497304.142857143,-85
0.9092479685679211,1647016.8571428573,-85
1.1702219026849072,1796729.5714285714,-85
1.1702219026849072,1946442.2857142857,-85
1.1702219026849072,2096155,-85
1.1702219026849072,2245867.7142857146,-85
1.1702219026849072,2395580.4285714286,-85
1.2695576539366837,2545293.1428571427,-85
2.248222275367771,2695005.8571428573,-85
2.248222275367771,2844718.5714285714,-85
2.248222275367771,2994431.285714286,-85
2.248222275367771,3144144,-85
2.248222275367771,3293856.7142857146,-85
2.248222275367771,3443569.4285714286,-85
2.248222275367771,3593282.1428571427,-85
2.248222275367771,3742994.8571428573,-85
2.248222275367771,3892707.5714285714,-85
2.248222275367771,4042420.285714286,-85
2.248222275367771,4192133,-85
2.248222275367771,4341845.714285715,-85
2.248222275367771,4491558.428571429,-85
2.248222275367771,4641271.142857143,-85
2.248222275367771,4790983.857142857,-85
2.248222275367771,4940696.571428572,-85
2.248222275367771,5090409.285714285,-85
2.248222275367771,5240122,-85
2.248222275367771,5389834.714285715,-85
2.248222275367771,5539547.428571429,-85
2.248222275367771,5689260.142857143,-85
2.248222275367771,5838972.857142857,-85
2.248222275367771,5988685.571428572,-85
2.248222275367771,6138398.285714285,-85
2.248222275367771,6288111,-85
2.248222275367771,6437823.714285715,-85
2.248222275367771,6587536.428571429,-85
2.248222275367771,6737249.142857143,-85
2.248222275367771,6886961.857142857,-85
2.248222275367771,7036674.571428572,-85
2.248222275367771,7186387.285714285,-85
2.248222275367771,7336100,-85
0.014026515148983922,177,-84.56122448979592
0.3735091282374574,149889.7142857143,-84.56122448979592
0.4972265935216641,299602.4285714286,-84.56122448979592
0.6742511213205741,449315.14285714284,-84.56122448979592
0.6742511213205741,599027.8571428572,-84.56122448979592
0.726235703291866,748740.5714285715,-84.56122448979592
0.726235703291866,898453.2857142857,-84.56122448979592
0.726235703291866,1048166,-84.56122448979592
0.8948829758885797,1197878.7142857143,-84.56122448979592
0.8948829758885797,1347591.4285714286,-84.56122448979592
0.8948829758885797,1497304.142857143,-84.56122448979592
0.8948829758885797,1647016.8571428573,-84.56122448979592
1.151733844810277,1796729.5714285714,-84.56122448979592
1.151733844810277,1946442.2857142857,-84.56122448979592
1.151733844810277,2096155,-84.56122448979592
1.151733844810277,2245867.7142857146,-84.56122448979592
1.151733844810277,2395580.4285714286,-84.56122448979592
1.249500214123509,2545293.1428571427,-84.56122448979592
2.21270314566539,2695005.8571428573,-84.56122448979592
2.21270314566539,2844718.5714285714,-84.56122448979592
2.21270314566539,2994431.285714286,-84.56122448979592
2.21270314566539,3144144,-84.56122448979592
2.21270314566539,3293856.7142857146,-84.56122448979592
2.21270314566539,3443569.4285714286,-84.56122448979592
2.21270314566539,3593282.1428571427,-84.56122448979592
2.21270314566539,3742994.8571428573,-84.56122448979592
2.21270314566539,3892707.5714285714,-84.56122448979592
2.21270314566539,4042420.285714286,-84.56122448979592
2.21270314566539,4192133,-84.56122448979592
2.21270314566539,4341845.714285715,-84.56122448979592
2.21270314566539,4491558.428571429,-84.56122448979592
2.21270314566539,4641271.142857143,-84.56122448979592
2.21270314566539,4790983.857142857,-84.56122448979592
2.21270314566539,4940696.571428572,-84.56122448979592
2.21270314566539,5090409.285714285,-84.56122448979592
2.21270314566539,5240122,-84.56122448979592
2.21270314566539,5389834.714285715,-84.56122448979592
2.21270314566539,5539547.428571429,-84.56122448979592
2.21270314566539,5689260.142857143,-84.56122448979592
2.21270314566539,5838972.857142857,-84.56122448979592
2.21270314566539,5988685.571428572,-84.56122448979592
2.21270314566539,6138398.285714285,-84.56122448979592
2.21270314566539,6288111,-84.56122448979592
2.21270314566539,6437823.714285715,-84.56122448979592
2.21270314566539,6587536.428571429,-84.56122448979592
2.21270314566539,6737249.142857143,-84.56122448979592
2.21270314566539,6886961.857142857,-84.56122448979592
2.21270314566539,7036674.571428572,-84.56122448979592
2.21270314566539,7186387.285714285,-84.56122448979592
2.21270314566539,7336100,-84.56122448979592
0.014026515148983922,177,-84.12244897959184
0.3735091282374574,149889.7142857143,-84.12244897959184
0.4972265935216641,299602.4285714286,-84.12244897959184
0.6742511213205741,449315.14285714284,-84.12244897959184
0.6742511213205741,599027.8571428572,-84.12244897959184
0.726235703291866,748740.5714285715,-84.12244897959184
0.726235703291866,898453.2857142857,-84.12244897959184
0.726235703291866,1048166,-84.12244897959184
0.8948829758885797,1197878.7142857143,-84.12244897959184
0.8948829758885797,1347591.4285714286,-84.12244897959184
0.8948829758885797,1497304.142857143,-84.12244897959184
0.8948829758885797,1647016.8571428573,-84.12244897959184
1.151733844810277,1796729.5714285714,-84.12244897959184
1.151733844810277,1946442.2857142857,-84.12244897959184
1.151733844810277,2096155,-84.12244897959184
1.151733844810277,2245867.7142857146,-84.12244897959184
1.151733844810277,2395580.4285714286,-84.12244897959184
1.249500214123509,2545293.1428571427,-84.12244897959184
2.21270314566539,2695005.8571428573,-84.12244897959184
2.21270314566539,2844718.5714285714,-84.12244897959184
2.21270314566539,2994431.285714286,-84.12244897959184
2.21270314566539,3144144,-84.12244897959184
2.21270314566539,3293856.7142857146,-84.12244897959184
2.21270314566539,3443569.4285714286,-84.12244897959184
2.21270314566539,3593282.1428571427,-84.12244897959184
2.21270314566539,3742994.8571428573,-84.12244897959184
2.21270314566539,3892707.5714285714,-84.12244897959184
2.21270314566539,4042420.285714286,-84.12244897959184
2.21270314566539,4192133,-84.12244897959184
2.21270314566539,4341845.714285715,-84.12244897959184
2.21270314566539,4491558.428571429,-84.12244897959184
2.21270314566539,4641271.142857143,-84.12244897959184
2.21270314566539,4790983.857142857,-84.12244897959184
2.21270314566539,4940696.571428572,-84.12244897959184
2.21270314566539,5090409.285714285,-84.12244897959184
2.21270314566539,5240122,-84.12244897959184
2.21270314566539,5389834.714285715,-84.12244897959184
2.21270314566539,5539547.428571429,-84.12244897959184
2.21270314566539,5689260.142857143,-84.12244897959184
2.21270314566539,5838972.857142857,-84.12244897959184
2.21270314566539,5988685.571428572,-84.12244897959184
2.21270314566539,6138398.285714285,-84.12244897959184
2.21270314566539,6288111,-84.12244897959184
2.21270314566539,6437823.714285715,-84.12244897959184
2.21270314566539,6587536.428571429,-84.12244897959184
2.21270314566539,6737249.142857143,-84.12244897959184
2.21270314566539,6886961.857142857,-84.12244897959184
2.21270314566539,7036674.571428572,-84.12244897959184
2.21270314566539,7186387.285714285,-84.12244897959184
2.21270314566539,7336100,-84.12244897959184
0.014026515148983922,177,-83.68367346938776
0.3735091282374574,149889.7142857143,-83.68367346938776
0.4972265935216641,299602.4285714286,-83.68367346938776
0.6742511213205741,449315.14285714284,-83.68367346938776
0.6742511213205741,599027.8571428572,-83.68367346938776
0.726235703291866,748740.5714285715,-83.68367346938776
0.726235703291866,898453.2857142857,-83.68367346938776
0.726235703291866,1048166,-83.68367346938776
0.8948829758885797,1197878.7142857143,-83.68367346938776
0.8948829758885797,1347591.4285714286,-83.68367346938776
0.8948829758885797,1497304.142857143,-83.68367346938776
0.8948829758885797,1647016.8571428573,-83.68367346938776
1.151733844810277,1796729.5714285714,-83.68367346938776
1.151733844810277,1946442.2857142857,-83.68367346938776
1.151733844810277,2096155,-83.68367346938776
1.151733844810277,2245867.7142857146,-83.68367346938776
1.151733844810277,2395580.4285714286,-83.68367346938776
1.249500214123509,2545293.1428571427,-83.68367346938776
2.21270314566539,2695005.8571428573,-83.68367346938776
2.21270314566539,2844718.5714285714,-83.68367346938776
2.21270314566539,2994431.285714286,-83.68367346938776
2.21270314566539,3144144,-83.68367346938776
2.21270314566539,3293856.7142857146,-83.68367346938776
2.21270314566539,3443569.4285714286,-83.68367346938776
2.21270314566539,3593282.1428571427,-83.68367346938776
2.21270314566539,3742994.8571428573,-83.68367346938776
2.21270314566539,3892707.5714285714,-83.68367346938776
2.21270314566539,4042420.285714286,-83.68367346938776
2.21270314566539,4192133,-83.68367346938776
2.21270314566539,4341845.714285715,-83.68367346938776
2.21270314566539,4491558.428571429,-83.68367346938776
2.21270314566539,4641271.142857143,-83.68367346938776
2.21270314566539,4790983.857142857,-83.68367346938776
2.21270314566539,4940696.571428572,-83.68367346938776
2.21270314566539,5090409.285714285,-83.68367346938776
2.21270314566539,5240122,-83.68367346938776
2.21270314566539,5389834.714285715,-83.68367346938776
