Q,cumulative_landfalling_area,avg_landfalling_minomega
0.0203517914194173,177,-1.813508185473356
0.5419435825931267,149889.7142857143,-1.813508185473356
0.7237393760833918,299602.4285714286,-1.813508185473356
0.9814078575562315,449315.14285714284,-1.813508185473356
0.9814078575562315,599027.8571428572,-1.813508185473356
1.0570741421275929,748740.5714285715,-1.813508185473356
1.0570741421275929,898453.2857142857,-1.813508185473356
1.0570741421275929,1048166,-1.813508185473356
1.3025490894405092,1197878.7142857143,-1.813508185473356
1.3025490894405092,1347591.4285714286,-1.813508185473356
1.3025490894405092,1497304.142857143,-1.813508185473356
1.3025490894405092,1647016.8571428573,-1.813508185473356
1.713969024050657,1796729.5714285714,-1.813508185473356
1.713969024050657,1946442.2857142857,-1.813508185473356
1.713969024050657,2096155,-1.813508185473356
1.713969024050657,2245867.7142857146,-1.813508185473356
1.713969024050657,2395580.4285714286,-1.813508185473356
2.041123884052329,2545293.1428571427,-1.813508185473356
997.8877808846906,2695005.8571428573,-1.813508185473356
997.8877808846906,2844718.5714285714,-1.813508185473356
997.8877808846906,2994431.285714286,-1.813508185473356
997.8877808846906,3144144,-1.813508185473356
997.8877808846906,3293856.7142857146,-1.813508185473356
997.8877808846906,3443569.4285714286,-1.813508185473356
997.8877808846906,3593282.1428571427,-1.813508185473356
997.8877808846906,3742994.8571428573,-1.813508185473356
997.8877808846906,3892707.5714285714,-1.813508185473356
997.8877808846906,4042420.285714286,-1.813508185473356
997.8877808846906,4192133,-1.813508185473356
997.8877808846906,4341845.714285715,-1.813508185473356
997.8877808846906,4491558.428571429,-1.813508185473356
997.8877808846906,4641271.142857143,-1.813508185473356
997.8877808846906,4790983.857142857,-1.813508185473356
997.8877808846906,4940696.571428572,-1.813508185473356
997.8877808846906,5090409.285714285,-1.813508185473356
997.8877808846906,5240122,-1.813508185473356
997.8877808846906,5389834.714285715,-1.813508185473356
997.8877808846906,5539547.428571429,-1.813508185473356
997.8877808846906,5689260.142857143,-1.813508185473356
997.8877808846906,5838972.857142857,-1.813508185473356
997.8877808846906,5988685.571428572,-1.813508185473356
997.8877808846906,6138398.285714285,-1.813508185473356
997.8877808846906,6288111,-1.813508185473356
997.8877808846906,6437823.714285715,-1.813508185473356
997.8877808846906,6587536.428571429,-1.813508185473356
997.8877808846906,6737249.142857143,-1.813508185473356
997.8877808846906,6886961.857142857,-1.813508185473356
997.8877808846906,7036674.571428572,-1.813508185473356
997.8877808846906,7186387.285714285,-1.813508185473356
997.8877808846906,7336100,-1.813508185473356
0.0203517914194173,177,-1.7777659679332785
0.5419435825931267,149889.7142857143,-1.7777659679332785
0.7237393760833918,299602.4285714286,-1.7777659679332785
0.9814078575562315,449315.14285714284,-1.7777659679332785
0.9814078575562315,599027.8571428572,-1.7777659679332785
1.0570741421275929,748740.5714285715,-1.7777659679332785
1.0570741421275929,898453.2857142857,-1.7777659679332785
1.0570741421275929,1048166,-1.7777659679332785
1.3025490894405092,1197878.7142857143,-1.7777659679332785
1.3025490894405092,1347591.4285714286,-1.7777659679332785
1.3025490894405092,1497304.142857143,-1.7777659679332785
1.3025490894405092,1647016.8571428573,-1.7777659679332785
1.713969024050657,1796729.5714285714,-1.7777659679332785
1.713969024050657,1946442.2857142857,-1.7777659679332785
1.713969024050657,2096155,-1.7777659679332785
1.713969024050657,2245867.7142857146,-1.7777659679332785
1.713969024050657,2395580.4285714286,-1.7777659679332785
2.041123884052329,2545293.1428571427,-1.7777659679332785
997.8877808846906,2695005.8571428573,-1.7777659679332785
997.8877808846906,2844718.5714285714,-1.7777659679332785
997.8877808846906,2994431.285714286,-1.7777659679332785
997.8877808846906,3144144,-1.7777659679332785
997.8877808846906,3293856.7142857146,-1.7777659679332785
997.8877808846906,3443569.4285714286,-1.7777659679332785
997.8877808846906,3593282.1428571427,-1.7777659679332785
997.8877808846906,3742994.8571428573,-1.7777659679332785
997.8877808846906,3892707.5714285714,-1.7777659679332785
997.8877808846906,4042420.285714286,-1.7777659679332785
