Q,cumulative_landfalling_area,max_IWV_ais
0.007843094036676743,177,3.271653652191162
0.2088521051171958,149889.7142857143,3.271653652191162
0.27874823765770107,299602.4285714286,3.271653652191162
0.37798925933483923,449315.14285714284,3.271653652191162
0.37798925933483923,599027.8571428572,3.271653652191162
0.4071321306105661,748740.5714285715,3.271653652191162
0.4071321306105661,898453.2857142857,3.271653652191162
0.4071321306105661,1048166,3.271653652191162
0.5016768123202817,1197878.7142857143,3.271653652191162
0.5016768123202817,1347591.4285714286,3.271653652191162
0.5016768123202817,1497304.142857143,3.271653652191162
0.5016768123202817,1647016.8571428573,3.271653652191162
0.6624676994574162,1796729.5714285714,3.271653652191162
0.6624676994574162,1946442.2857142857,3.271653652191162
0.6624676994574162,2096155,3.271653652191162
0.6624676994574162,2245867.7142857146,3.271653652191162
0.6624676994574162,2395580.4285714286,3.271653652191162
0.8551462766874486,2545293.1428571427,3.271653652191162
6886.727469376716,2695005.8571428573,3.271653652191162
6886.727469376716,2844718.5714285714,3.271653652191162
6886.727469376716,2994431.285714286,3.271653652191162
6886.727469376716,3144144,3.271653652191162
6886.727469376716,3293856.7142857146,3.271653652191162
6886.727469376716,3443569.4285714286,3.271653652191162
6886.727469376716,3593282.1428571427,3.271653652191162
6886.727469376716,3742994.8571428573,3.271653652191162
6886.727469376716,3892707.5714285714,3.271653652191162
6886.727469376716,4042420.285714286,3.271653652191162
6886.727469376716,4192133,3.271653652191162
6886.727469376716,4341845.714285715,3.271653652191162
6886.727469376716,4491558.428571429,3.271653652191162
6886.727469376716,4641271.142857143,3.271653652191162
6886.727469376716,4790983.857142857,3.271653652191162
6886.727469376716,4940696.571428572,3.271653652191162
6886.727469376716,5090409.285714285,3.271653652191162
6886.727469376716,5240122,3.271653652191162
6886.727469376716,5389834.714285715,3.271653652191162
6886.727469376716,5539547.428571429,3.271653652191162
6886.727469376716,5689260.142857143,3.271653652191162
6886.727469376716,5838972.857142857,3.271653652191162
6886.727469376716,5988685.571428572,3.271653652191162
6886.727469376716,6138398.285714285,3.271653652191162
6886.727469376716,6288111,3.271653652191162
6886.727469376716,6437823.714285715,3.271653652191162
6886.727469376716,6587536.428571429,3.271653652191162
6886.727469376716,6737249.142857143,3.271653652191162
6886.727469376716,6886961.857142857,3.271653652191162
6886.727469376716,7036674.571428572,3.271653652191162
6886.727469376716,7186387.285714285,3.271653652191162
6886.727469376716,7336100,3.271653652191162
0.007843094036676743,177,3.8018524014219945
0.2088521051171958,149889.7142857143,3.8018524014219945
0.27874823765770107,299602.4285714286,3.8018524014219945
0.37798925933483923,449315.14285714284,3.8018524014219945
0.37798925933483923,599027.8571428572,3.8018524014219945
0.4071321306105661,748740.5714285715,3.8018524014219945
0.4071321306105661,898453.2857142857,3.8018524014219945
0.4071321306105661,1048166,3.8018524014219945
0.5016768123202817,1197878.7142857143,3.8018524014219945
0.5016768123202817,1347591.4285714286,3.8018524014219945
0.5016768123202817,1497304.142857143,3.8018524014219945
0.5016768123202817,1647016.8571428573,3.8018524014219945
0.6624676994574162,1796729.5714285714,3.8018524014219945
0.6624676994574162,1946442.2857142857,3.8018524014219945
0.6624676994574162,2096155,3.8018524014219945
0.6624676994574162,2245867.7142857146,3.8018524014219945
0.6624676994574162,2395580.4285714286,3.8018524014219945
0.8551462766874486,2545293.1428571427,3.8018524014219945
6886.727469376716,2695005.8571428573,3.8018524014219945
6886.727469376716,2844718.5714285714,3.8018524014219945
6886.727469376716,2994431.285714286,3.8018524014219945
6886.727469376716,3144144,3.8018524014219945
6886.727469376716,3293856.7142857146,3.8018524014219945
6886.727469376716,3443569.4285714286,3.8018524014219945
6886.727469376716,3593282.1428571427,3.8018524014219945
6886.727469376716,3742994.8571428573,3.8018524014219945
6886.727469376716,3892707.5714285714,3.8018524014219945
6886.727469376716,4042420.285714286,3.8018524014219945
6886.727469376716,4192133,3.8018524014219945
6886.727469376716,4341845.714285715,3.8018524014219945
6886.727469376716,4491558.428571429,3.8018524014219945
6886.727469376716,4641271.142857143,3.8018524014219945
6886.727469376716,4790983.857142857,3.8018524014219945
6886.727469376716,4940696.571428572,3.8018524014219945
6886.727469376716,5090409.285714285,3.8018524014219945
6886.727469376716,5240122,3.8018524014219945
6886.727469376716,5389834.714285715,3.8018524014219945
6886.727469376716,5539547.428571429,3.8018524014219945
6886.727469376716,5689260.142857143,3.8018524014219945
6886.727469376716,5838972.857142857,3.8018524014219945
6886.727469376716,5988685.571428572,3.8018524014219945
6886.727469376716,6138398.285714285,3.8018524014219945
6886.727469376716,6288111,3.8018524014219945
6886.727469376716,6437823.714285715,3.8018524014219945
6886.727469376716,6587536.428571429,3.8018524014219945
6886.727469376716,6737249.142857143,3.8018524014219945
6886.727469376716,6886961.857142857,3.8018524014219945
6886.727469376716,7036674.571428572,3.8018524014219945
6886.727469376716,7186387.285714285,3.8018524014219945
6886.727469376716,7336100,3.8018524014219945
0.007843094036676743,177,4.332051150652827
0.2088521051171958,149889.7142857143,4.332051150652827
0.27874823765770107,299602.4285714286,4.332051150652827
0.37798925933483923,449315.14285714284,4.332051150652827
0.37798925933483923,599027.8571428572,4.332051150652827
0.4071321306105661,748740.5714285715,4.332051150652827
0.4071321306105661,898453.2857142857,4.332051150652827
0.4071321306105661,1048166,4.332051150652827
0.5016768123202817,1197878.7142857143,4.332051150652827
0.5016768123202817,1347591.4285714286,4.332051150652827
0.5016768123202817,1497304.142857143,4.332051150652827
0.5016768123202817,1647016.8571428573,4.332051150652827
0.6624676994574162,1796729.5714285714,4.332051150652827
0.6624676994574162,1946442.2857142857,4.332051150652827
0.6624676994574162,2096155,4.332051150652827
0.6624676994574162,2245867.7142857146,4.332051150652827
0.6624676994574162,2395580.4285714286,4.332051150652827
0.8551462766874486,2545293.1428571427,4.332051150652827
6886.727469376716,2695005.8571428573,4.332051150652827
6886.727469376716,2844718.5714285714,4.332051150652827
6886.727469376716,2994431.285714286,4.332051150652827
6886.727469376716,3144144,4.332051150652827
6886.727469376716,3293856.7142857146,4.332051150652827
6886.727469376716,3443569.4285714286,4.332051150652827
6886.727469376716,3593282.1428571427,4.332051150652827
6886.727469376716,3742994.8571428573,4.332051150652827
6886.727469376716,3892707.5714285714,4.332051150652827
6886.727469376716,4042420.285714286,4.332051150652827
6886.727469376716,4192133,4.332051150652827
6886.727469376716,4341845.714285715,4.332051150652827
6886.727469376716,4491558.428571429,4.332051150652827
6886.727469376716,4641271.142857143,4.332051150652827
6886.727469376716,4790983.857142857,4.332051150652827
6886.727469376716,4940696.571428572,4.332051150652827
6886.727469376716,5090409.285714285,4.332051150652827
6886.727469376716,5240122,4.332051150652827
6886.727469376716,5389834.714285715,4.332051150652827
6886.727469376716,5539547.428571429,4.332051150652827
6886.727469376716,5689260.142857143,4.332051150652827
6886.727469376716,5838972.857142857,4.332051150652827
6886.727469376716,5988685.571428572,4.332051150652827
6886.727469376716,6138398.285714285,4.332051150652827
6886.727469376716,6288111,4.332051150652827
6886.727469376716,6437823.714285715,4.332051150652827
6886.727469376716,6587536.428571429,4.332051150652827
6886.727469376716,6737249.142857143,4.332051150652827
6886.727469376716,6886961.857142857,4.332051150652827
6886.727469376716,7036674.571428572,4.332051150652827
6886.727469376716,7186387.285714285,4.332051150652827
6886.727469376716,7336100,4.332051150652827
0.007843094036676743,177,4.862249899883659
0.2088521051171958,149889.7142857143,4.862249899883659
0.27874823765770107,299602.4285714286,4.862249899883659
0.37798925933483923,449315.14285714284,4.862249899883659
0.37798925933483923,599027.8571428572,4.862249899883659
0.4071321306105661,748740.5714285715,4.862249899883659
0.4071321306105661,898453.2857142857,4.862249899883659
0.4071321306105661,1048166,4.862249899883659
0.5016768123202817,1197878.7142857143,4.862249899883659
0.5016768123202817,1347591.4285714286,4.862249899883659
0.5016768123202817,1497304.142857143,4.862249899883659
0.5016768123202817,1647016.8571428573,4.862249899883659
0.6624676994574162,1796729.5714285714,4.862249899883659
0.6624676994574162,1946442.2857142857,4.862249899883659
0.6624676994574162,2096155,4.862249899883659
0.6624676994574162,2245867.7142857146,4.862249899883659
0.6624676994574162,2395580.4285714286,4.862249899883659
0.8551462766874486,2545293.1428571427,4.862249899883659
6886.727469376716,2695005.8571428573,4.862249899883659
6886.727469376716,2844718.5714285714,4.862249899883659
6886.727469376716,2994431.285714286,4.862249899883659
6886.727469376716,3144144,4.862249899883659
6886.727469376716,3293856.7142857146,4.862249899883659
6886.727469376716,3443569.4285714286,4.862249899883659
6886.727469376716,3593282.1428571427,4.862249899883659
6886.727469376716,3742994.8571428573,4.862249899883659
6886.727469376716,3892707.5714285714,4.862249899883659
6886.727469376716,4042420.285714286,4.862249899883659
6886.727469376716,4192133,4.862249899883659
6886.727469376716,4341845.714285715,4.862249899883659
6886.727469376716,4491558.428571429,4.862249899883659
6886.727469376716,4641271.142857143,4.862249899883659
6886.727469376716,4790983.857142857,4.862249899883659
6886.727469376716,4940696.571428572,4.862249899883659
6886.727469376716,5090409.285714285,4.862249899883659
6886.727469376716,5240122,4.862249899883659
6886.727469376716,5389834.714285715,4.862249899883659
