Q,cumulative_landfalling_area,max_south_extent
11.00094387272065,153,-85
11.56767839575124,149866.20408163266,-85
11.56767839575124,299579.4081632653,-85
13.30704512642406,449292.612244898,-85
13.30704512642406,599005.8163265307,-85
13.30704512642406,748719.0204081633,-85
13.30704512642406,898432.224489796,-85
13.30704512642406,1048145.4285714286,-85
13.30704512642406,1197858.6326530613,-85
13.30704512642406,1347571.836734694,-85
13.30704512642406,1497285.0408163266,-85
13.30704512642406,1646998.2448979593,-85
13.30704512642406,1796711.448979592,-85
13.30704512642406,1946424.6530612246,-85
13.30704512642406,2096137.8571428573,-85
13.30704512642406,2245851.06122449,-85
13.30704512642406,2395564.2653061226,-85
13.30704512642406,2545277.4693877553,-85
13.30704512642406,2694990.673469388,-85
13.30704512642406,2844703.8775510206,-85
13.30704512642406,2994417.0816326533,-85
13.30704512642406,3144130.285714286,-85
13.30704512642406,3293843.4897959186,-85
13.30704512642406,3443556.6938775512,-85
13.30704512642406,3593269.897959184,-85
13.304451321817107,3742983.1020408166,-85
13.304451321817107,3892696.306122449,-85
13.304451321817107,4042409.510204082,-85
13.304451321817107,4192122.7142857146,-85
13.304451321817107,4341835.918367347,-85
13.304451321817107,4491549.12244898,-85
13.304451321817107,4641262.326530613,-85
13.304451321817107,4790975.530612245,-85
13.304451321817107,4940688.734693877,-85
13.304451321817107,5090401.9387755105,-85
13.304451321817107,5240115.142857144,-85
13.304451321817107,5389828.346938776,-85
13.304451321817107,5539541.551020408,-85
13.304451321817107,5689254.755102041,-85
13.304451321817107,5838967.959183674,-85
13.304451321817107,5988681.1632653065,-85
13.304451321817107,6138394.367346939,-85
13.304451321817107,6288107.571428572,-85
13.304451321817107,6437820.775510205,-85
13.304451321817107,6587533.979591837,-85
13.304451321817107,6737247.183673469,-85
13.304451321817107,6886960.3877551025,-85
13.304451321817107,7036673.591836736,-85
13.304451321817107,7186386.795918368,-85
13.304451321817107,7336100,-85
11.00094387272065,153,-84.58163265306122
11.56767839575124,149866.20408163266,-84.58163265306122
11.56767839575124,299579.4081632653,-84.58163265306122
13.30704512642406,449292.612244898,-84.58163265306122
13.30704512642406,599005.8163265307,-84.58163265306122
13.30704512642406,748719.0204081633,-84.58163265306122
13.30704512642406,898432.224489796,-84.58163265306122
13.30704512642406,1048145.4285714286,-84.58163265306122
13.30704512642406,1197858.6326530613,-84.58163265306122
13.30704512642406,1347571.836734694,-84.58163265306122
13.30704512642406,1497285.0408163266,-84.58163265306122
13.30704512642406,1646998.2448979593,-84.58163265306122
13.30704512642406,1796711.448979592,-84.58163265306122
13.30704512642406,1946424.6530612246,-84.58163265306122
13.30704512642406,2096137.8571428573,-84.58163265306122
13.30704512642406,2245851.06122449,-84.58163265306122
13.30704512642406,2395564.2653061226,-84.58163265306122
13.30704512642406,2545277.4693877553,-84.58163265306122
13.30704512642406,2694990.673469388,-84.58163265306122
13.30704512642406,2844703.8775510206,-84.58163265306122
13.30704512642406,2994417.0816326533,-84.58163265306122
13.30704512642406,3144130.285714286,-84.58163265306122
13.30704512642406,3293843.4897959186,-84.58163265306122
13.30704512642406,3443556.6938775512,-84.58163265306122
13.30704512642406,3593269.897959184,-84.58163265306122
13.304451321817107,3742983.1020408166,-84.58163265306122
13.304451321817107,3892696.306122449,-84.58163265306122
13.304451321817107,4042409.510204082,-84.58163265306122
13.304451321817107,4192122.7142857146,-84.58163265306122
13.304451321817107,4341835.918367347,-84.58163265306122
13.304451321817107,4491549.12244898,-84.58163265306122
13.304451321817107,4641262.326530613,-84.58163265306122
13.304451321817107,4790975.530612245,-84.58163265306122
13.304451321817107,4940688.734693877,-84.58163265306122
13.304451321817107,5090401.9387755105,-84.58163265306122
13.304451321817107,5240115.142857144,-84.58163265306122
13.304451321817107,5389828.346938776,-84.58163265306122
13.304451321817107,5539541.551020408,-84.58163265306122
13.304451321817107,5689254.755102041,-84.58163265306122
13.304451321817107,5838967.959183674,-84.58163265306122
13.304451321817107,5988681.1632653065,-84.58163265306122
13.304451321817107,6138394.367346939,-84.58163265306122
13.304451321817107,6288107.571428572,-84.58163265306122
13.304451321817107,6437820.775510205,-84.58163265306122
13.304451321817107,6587533.979591837,-84.58163265306122
13.304451321817107,6737247.183673469,-84.58163265306122
13.304451321817107,6886960.3877551025,-84.58163265306122
13.304451321817107,7036673.591836736,-84.58163265306122
13.304451321817107,7186386.795918368,-84.58163265306122
13.304451321817107,7336100,-84.58163265306122
11.00094387272065,153,-84.16326530612245
11.56767839575124,149866.20408163266,-84.16326530612245
11.56767839575124,299579.4081632653,-84.16326530612245
13.30704512642406,449292.612244898,-84.16326530612245
13.30704512642406,599005.8163265307,-84.16326530612245
13.30704512642406,748719.0204081633,-84.16326530612245
13.30704512642406,898432.224489796,-84.16326530612245
13.30704512642406,1048145.4285714286,-84.16326530612245
13.30704512642406,1197858.6326530613,-84.16326530612245
13.30704512642406,1347571.836734694,-84.16326530612245
13.30704512642406,1497285.0408163266,-84.16326530612245
13.30704512642406,1646998.2448979593,-84.16326530612245
13.30704512642406,1796711.448979592,-84.16326530612245
13.30704512642406,1946424.6530612246,-84.16326530612245
13.30704512642406,2096137.8571428573,-84.16326530612245
13.30704512642406,2245851.06122449,-84.16326530612245
13.30704512642406,2395564.2653061226,-84.16326530612245
13.30704512642406,2545277.4693877553,-84.16326530612245
13.30704512642406,2694990.673469388,-84.16326530612245
13.30704512642406,2844703.8775510206,-84.16326530612245
13.30704512642406,2994417.0816326533,-84.16326530612245
13.30704512642406,3144130.285714286,-84.16326530612245
13.30704512642406,3293843.4897959186,-84.16326530612245
13.30704512642406,3443556.6938775512,-84.16326530612245
13.30704512642406,3593269.897959184,-84.16326530612245
13.304451321817107,3742983.1020408166,-84.16326530612245
13.304451321817107,3892696.306122449,-84.16326530612245
13.304451321817107,4042409.510204082,-84.16326530612245
13.304451321817107,4192122.7142857146,-84.16326530612245
13.304451321817107,4341835.918367347,-84.16326530612245
13.304451321817107,4491549.12244898,-84.16326530612245
13.304451321817107,4641262.326530613,-84.16326530612245
13.304451321817107,4790975.530612245,-84.16326530612245
13.304451321817107,4940688.734693877,-84.16326530612245
13.304451321817107,5090401.9387755105,-84.16326530612245
13.304451321817107,5240115.142857144,-84.16326530612245
13.304451321817107,5389828.346938776,-84.16326530612245
13.304451321817107,5539541.551020408,-84.16326530612245
13.304451321817107,5689254.755102041,-84.16326530612245
13.304451321817107,5838967.959183674,-84.16326530612245
13.304451321817107,5988681.1632653065,-84.16326530612245
13.304451321817107,6138394.367346939,-84.16326530612245
13.304451321817107,6288107.571428572,-84.16326530612245
13.304451321817107,6437820.775510205,-84.16326530612245
13.304451321817107,6587533.979591837,-84.16326530612245
13.304451321817107,6737247.183673469,-84.16326530612245
13.304451321817107,6886960.3877551025,-84.16326530612245
13.304451321817107,7036673.591836736,-84.16326530612245
13.304451321817107,7186386.795918368,-84.16326530612245
13.304451321817107,7336100,-84.16326530612245
11.00094387272065,153,-83.74489795918367
11.56767839575124,149866.20408163266,-83.74489795918367
11.56767839575124,299579.4081632653,-83.74489795918367
13.30704512642406,449292.612244898,-83.74489795918367
13.30704512642406,599005.8163265307,-83.74489795918367
13.30704512642406,748719.0204081633,-83.74489795918367
13.30704512642406,898432.224489796,-83.74489795918367
13.30704512642406,1048145.4285714286,-83.74489795918367
