Q,cumulative_landfalling_area,avg_landfalling_minomega
10.848567836981815,153,-1.8647817688635515
11.407298402033103,149866.20408163266,-1.8647817688635515
11.407298402033103,299579.4081632653,-1.8647817688635515
13.130947292195044,449292.612244898,-1.8647817688635515
13.130947292195044,599005.8163265307,-1.8647817688635515
13.130947292195044,748719.0204081633,-1.8647817688635515
13.130947292195044,898432.224489796,-1.8647817688635515
13.130947292195044,1048145.4285714286,-1.8647817688635515
13.130947292195044,1197858.6326530613,-1.8647817688635515
13.130947292195044,1347571.836734694,-1.8647817688635515
13.130947292195044,1497285.0408163266,-1.8647817688635515
13.130947292195044,1646998.2448979593,-1.8647817688635515
13.130947292195044,1796711.448979592,-1.8647817688635515
13.130947292195044,1946424.6530612246,-1.8647817688635515
13.130947292195044,2096137.8571428573,-1.8647817688635515
13.130947292195044,2245851.06122449,-1.8647817688635515
13.130947292195044,2395564.2653061226,-1.8647817688635515
13.130947292195044,2545277.4693877553,-1.8647817688635515
13.130947292195044,2694990.673469388,-1.8647817688635515
13.130947292195044,2844703.8775510206,-1.8647817688635515
13.130947292195044,2994417.0816326533,-1.8647817688635515
13.130947292195044,3144130.285714286,-1.8647817688635515
13.130947292195044,3293843.4897959186,-1.8647817688635515
13.130947292195044,3443556.6938775512,-1.8647817688635515
13.130947292195044,3593269.897959184,-1.8647817688635515
13.12839465755495,3742983.1020408166,-1.8647817688635515
13.12839465755495,3892696.306122449,-1.8647817688635515
13.12839465755495,4042409.510204082,-1.8647817688635515
13.12839465755495,4192122.7142857146,-1.8647817688635515
13.12839465755495,4341835.918367347,-1.8647817688635515
13.12839465755495,4491549.12244898,-1.8647817688635515
13.12839465755495,4641262.326530613,-1.8647817688635515
13.12839465755495,4790975.530612245,-1.8647817688635515
13.12839465755495,4940688.734693877,-1.8647817688635515
13.12839465755495,5090401.9387755105,-1.8647817688635515
13.12839465755495,5240115.142857144,-1.8647817688635515
13.12839465755495,5389828.346938776,-1.8647817688635515
13.12839465755495,5539541.551020408,-1.8647817688635515
13.12839465755495,5689254.755102041,-1.8647817688635515
13.12839465755495,5838967.959183674,-1.8647817688635515
13.12839465755495,5988681.1632653065,-1.8647817688635515
13.12839465755495,6138394.367346939,-1.8647817688635515
13.12839465755495,6288107.571428572,-1.8647817688635515
13.12839465755495,6437820.775510205,-1.8647817688635515
13.12839465755495,6587533.979591837,-1.8647817688635515
13.12839465755495,6737247.183673469,-1.8647817688635515
13.12839465755495,6886960.3877551025,-1.8647817688635515
13.12839465755495,7036673.591836736,-1.8647817688635515
13.12839465755495,7186386.795918368,-1.8647817688635515
13.12839465755495,7336100,-1.8647817688635515
10.848567836981815,153,-1.8273671842912291
11.407298402033103,149866.20408163266,-1.8273671842912291
11.407298402033103,299579.4081632653,-1.8273671842912291
13.130947292195044,449292.612244898,-1.8273671842912291
13.130947292195044,599005.8163265307,-1.8273671842912291
13.130947292195044,748719.0204081633,-1.8273671842912291
13.130947292195044,898432.224489796,-1.8273671842912291
13.130947292195044,1048145.4285714286,-1.8273671842912291
13.130947292195044,1197858.6326530613,-1.8273671842912291
13.130947292195044,1347571.836734694,-1.8273671842912291
13.130947292195044,1497285.0408163266,-1.8273671842912291
13.130947292195044,1646998.2448979593,-1.8273671842912291
13.130947292195044,1796711.448979592,-1.8273671842912291
13.130947292195044,1946424.6530612246,-1.8273671842912291
13.130947292195044,2096137.8571428573,-1.8273671842912291
13.130947292195044,2245851.06122449,-1.8273671842912291
13.130947292195044,2395564.2653061226,-1.8273671842912291
13.130947292195044,2545277.4693877553,-1.8273671842912291
13.130947292195044,2694990.673469388,-1.8273671842912291
13.130947292195044,2844703.8775510206,-1.8273671842912291
13.130947292195044,2994417.0816326533,-1.8273671842912291
13.130947292195044,3144130.285714286,-1.8273671842912291
13.130947292195044,3293843.4897959186,-1.8273671842912291
13.130947292195044,3443556.6938775512,-1.8273671842912291
13.130947292195044,3593269.897959184,-1.8273671842912291
13.12839465755495,3742983.1020408166,-1.8273671842912291
13.12839465755495,3892696.306122449,-1.8273671842912291
13.12839465755495,4042409.510204082,-1.8273671842912291
13.12839465755495,4192122.7142857146,-1.8273671842912291
13.12839465755495,4341835.918367347,-1.8273671842912291
13.12839465755495,4491549.12244898,-1.8273671842912291
13.12839465755495,4641262.326530613,-1.8273671842912291
13.12839465755495,4790975.530612245,-1.8273671842912291
13.12839465755495,4940688.734693877,-1.8273671842912291
13.12839465755495,5090401.9387755105,-1.8273671842912291
13.12839465755495,5240115.142857144,-1.8273671842912291
13.12839465755495,5389828.346938776,-1.8273671842912291
13.12839465755495,5539541.551020408,-1.8273671842912291
13.12839465755495,5689254.755102041,-1.8273671842912291
13.12839465755495,5838967.959183674,-1.8273671842912291
13.12839465755495,5988681.1632653065,-1.8273671842912291
13.12839465755495,6138394.367346939,-1.8273671842912291
13.12839465755495,6288107.571428572,-1.8273671842912291
13.12839465755495,6437820.775510205,-1.8273671842912291
13.12839465755495,6587533.979591837,-1.8273671842912291
13.12839465755495,6737247.183673469,-1.8273671842912291
13.12839465755495,6886960.3877551025,-1.8273671842912291
13.12839465755495,7036673.591836736,-1.8273671842912291
13.12839465755495,7186386.795918368,-1.8273671842912291
13.12839465755495,7336100,-1.8273671842912291
10.848567836981815,153,-1.7899525997189067
11.407298402033103,149866.20408163266,-1.7899525997189067
11.407298402033103,299579.4081632653,-1.7899525997189067
13.130947292195044,449292.612244898,-1.7899525997189067
13.130947292195044,599005.8163265307,-1.7899525997189067
13.130947292195044,748719.0204081633,-1.7899525997189067
13.130947292195044,898432.224489796,-1.7899525997189067
13.130947292195044,1048145.4285714286,-1.7899525997189067
13.130947292195044,1197858.6326530613,-1.7899525997189067
13.130947292195044,1347571.836734694,-1.7899525997189067
13.130947292195044,1497285.0408163266,-1.7899525997189067
13.130947292195044,1646998.2448979593,-1.7899525997189067
13.130947292195044,1796711.448979592,-1.7899525997189067
13.130947292195044,1946424.6530612246,-1.7899525997189067
13.130947292195044,2096137.8571428573,-1.7899525997189067
13.130947292195044,2245851.06122449,-1.7899525997189067
13.130947292195044,2395564.2653061226,-1.7899525997189067
13.130947292195044,2545277.4693877553,-1.7899525997189067
13.130947292195044,2694990.673469388,-1.7899525997189067
13.130947292195044,2844703.8775510206,-1.7899525997189067
13.130947292195044,2994417.0816326533,-1.7899525997189067
13.130947292195044,3144130.285714286,-1.7899525997189067
13.130947292195044,3293843.4897959186,-1.7899525997189067
13.130947292195044,3443556.6938775512,-1.7899525997189067
13.130947292195044,3593269.897959184,-1.7899525997189067
13.12839465755495,3742983.1020408166,-1.7899525997189067
13.12839465755495,3892696.306122449,-1.7899525997189067
13.12839465755495,4042409.510204082,-1.7899525997189067
13.12839465755495,4192122.7142857146,-1.7899525997189067
13.12839465755495,4341835.918367347,-1.7899525997189067
13.12839465755495,4491549.12244898,-1.7899525997189067
13.12839465755495,4641262.326530613,-1.7899525997189067
13.12839465755495,4790975.530612245,-1.7899525997189067
13.12839465755495,4940688.734693877,-1.7899525997189067
13.12839465755495,5090401.9387755105,-1.7899525997189067
13.12839465755495,5240115.142857144,-1.7899525997189067
13.12839465755495,5389828.346938776,-1.7899525997189067
13.12839465755495,5539541.551020408,-1.7899525997189067
13.12839465755495,5689254.755102041,-1.7899525997189067
13.12839465755495,5838967.959183674,-1.7899525997189067
13.12839465755495,5988681.1632653065,-1.7899525997189067
13.12839465755495,6138394.367346939,-1.7899525997189067
13.12839465755495,6288107.571428572,-1.7899525997189067
13.12839465755495,6437820.775510205,-1.7899525997189067
13.12839465755495,6587533.979591837,-1.7899525997189067
13.12839465755495,6737247.183673469,-1.7899525997189067
13.12839465755495,6886960.3877551025,-1.7899525997189067
13.12839465755495,7036673.591836736,-1.7899525997189067
