Q,max_south_extent,max_ocean_SLP_gradient
0.5885144606877943,-85,1.9763417045365497
0.5792166605147766,-84.56122448979592,1.9763417045365497
0.5792166605147766,-84.12244897959184,1.9763417045365497
0.5792166605147766,-83.68367346938776,1.9763417045365497
0.5792166605147766,-83.24489795918367,1.9763417045365497
0.5792166605147766,-82.8061224489796,1.9763417045365497
0.5792166605147766,-82.36734693877551,1.9763417045365497
0.5792166605147766,-81.92857142857143,1.9763417045365497
0.5792166605147766,-81.48979591836735,1.9763417045365497
0.5792166605147766,-81.05102040816327,1.9763417045365497
0.5792166605147766,-80.61224489795919,1.9763417045365497
0.5792166605147766,-80.1734693877551,1.9763417045365497
0.5792166605147766,-79.73469387755102,1.9763417045365497
0.5792166605147766,-79.29591836734694,1.9763417045365497
0.5792166605147766,-78.85714285714286,1.9763417045365497
0.5792166605147766,-78.41836734693878,1.9763417045365497
0.5792166605147766,-77.9795918367347,1.9763417045365497
0.5792166605147766,-77.54081632653062,1.9763417045365497
0.5792166605147766,-77.10204081632654,1.9763417045365497
0.5792166605147766,-76.66326530612245,1.9763417045365497
0.5792166605147766,-76.22448979591837,1.9763417045365497
0.5792166605147766,-75.78571428571429,1.9763417045365497
0.5792166605147766,-75.34693877551021,1.9763417045365497
0.5792166605147766,-74.90816326530611,1.9763417045365497
0.5792166605147766,-74.46938775510205,1.9763417045365497
0.5792166605147766,-74.03061224489795,1.9763417045365497
0.5792166605147766,-73.59183673469389,1.9763417045365497
0.5792166605147766,-73.15306122448979,1.9763417045365497
0.5792166605147766,-72.71428571428572,1.9763417045365497
0.5792166605147766,-72.27551020408163,1.9763417045365497
0.5792166605147766,-71.83673469387755,1.9763417045365497
0.5792166605147766,-71.39795918367346,1.9763417045365497
0.5792166605147766,-70.95918367346938,1.9763417045365497
0.5792166605147766,-70.5204081632653,1.9763417045365497
0.5792166605147766,-70.08163265306122,1.9763417045365497
0.5792166605147766,-69.64285714285714,1.9763417045365497
0.5792166605147766,-69.20408163265306,1.9763417045365497
0.5792166605147766,-68.76530612244898,1.9763417045365497
0.5792166605147766,-68.3265306122449,1.9763417045365497
0.5792166605147766,-67.88775510204081,1.9763417045365497
0.5792166605147766,-67.44897959183673,1.9763417045365497
0.5792166605147766,-67.01020408163265,1.9763417045365497
3612083247218453e3,-66.57142857142857,1.9763417045365497
