Q,cumulative_landfalling_area,max_landfalling_v850hPa
0.010704080081865552,177,15.195411682128906
0.2850367020956842,149889.7142857143,15.195411682128906
0.37950530952776895,299602.4285714286,15.195411682128906
0.514618252181359,449315.14285714284,15.195411682128906
0.514618252181359,599027.8571428572,15.195411682128906
0.5542951824355477,748740.5714285715,15.195411682128906
0.5542951824355477,898453.2857142857,15.195411682128906
0.5542951824355477,1048166,15.195411682128906
0.6830142337126013,1197878.7142857143,15.195411682128906
0.6830142337126013,1347591.4285714286,15.195411682128906
0.6830142337126013,1497304.142857143,15.195411682128906
0.6830142337126013,1647016.8571428573,15.195411682128906
0.8828317360069242,1796729.5714285714,15.195411682128906
0.8828317360069242,1946442.2857142857,15.195411682128906
0.8828317360069242,2096155,15.195411682128906
0.8828317360069242,2245867.7142857146,15.195411682128906
0.8828317360069242,2395580.4285714286,15.195411682128906
0.9858644214405288,2545293.1428571427,15.195411682128906
27.627840515000997,2695005.8571428573,15.195411682128906
27.627840515000997,2844718.5714285714,15.195411682128906
27.627840515000997,2994431.285714286,15.195411682128906
27.627840515000997,3144144,15.195411682128906
27.627840515000997,3293856.7142857146,15.195411682128906
27.627840515000997,3443569.4285714286,15.195411682128906
27.627840515000997,3593282.1428571427,15.195411682128906
27.627840515000997,3742994.8571428573,15.195411682128906
27.627840515000997,3892707.5714285714,15.195411682128906
27.627840515000997,4042420.285714286,15.195411682128906
27.627840515000997,4192133,15.195411682128906
27.627840515000997,4341845.714285715,15.195411682128906
27.627840515000997,4491558.428571429,15.195411682128906
27.627840515000997,4641271.142857143,15.195411682128906
27.627840515000997,4790983.857142857,15.195411682128906
27.627840515000997,4940696.571428572,15.195411682128906
27.627840515000997,5090409.285714285,15.195411682128906
27.627840515000997,5240122,15.195411682128906
27.627840515000997,5389834.714285715,15.195411682128906
27.627840515000997,5539547.428571429,15.195411682128906
27.627840515000997,5689260.142857143,15.195411682128906
27.627840515000997,5838972.857142857,15.195411682128906
27.627840515000997,5988685.571428572,15.195411682128906
27.627840515000997,6138398.285714285,15.195411682128906
27.627840515000997,6288111,15.195411682128906
27.627840515000997,6437823.714285715,15.195411682128906
27.627840515000997,6587536.428571429,15.195411682128906
27.627840515000997,6737249.142857143,15.195411682128906
27.627840515000997,6886961.857142857,15.195411682128906
27.627840515000997,7036674.571428572,15.195411682128906
