Q,max_IWV_ais,max_ocean_SLP_gradient
13.351225927347334,3.6118316650390634,1.9763417045365497
13.351225927347334,4.009729307525013,1.9763417045365497
12.128317114388535,4.407626950010962,1.9763417045365497
12.128317114388535,4.805524592496912,1.9763417045365497
12.128317114388535,5.203422234982861,1.9763417045365497
12.128317114388535,5.601319877468811,1.9763417045365497
12.128317114388535,5.99921751995476,1.9763417045365497
12.128317114388535,6.397115162440709,1.9763417045365497
12.128317114388535,6.7950128049266585,1.9763417045365497
12.128317114388535,7.192910447412608,1.9763417045365497
12.128317114388535,7.590808089898557,1.9763417045365497
12.128317114388535,7.988705732384506,1.9763417045365497
12.20059173615625,8.386603374870457,1.9763417045365497
12.20059173615625,8.784501017356405,1.9763417045365497
12.20059173615625,9.182398659842356,1.9763417045365497
12.20059173615625,9.580296302328303,1.9763417045365497
12.197834770207576,9.978193944814254,1.9763417045365497
12.197834770207576,10.376091587300202,1.9763417045365497
12.197834770207576,10.773989229786153,1.9763417045365497
12.197639468315534,11.1718868722721,1.9763417045365497
12.197639468315534,11.569784514758052,1.9763417045365497
12.197639468315534,11.967682157243999,1.9763417045365497
12.197639468315534,12.36557979972995,1.9763417045365497
12.197639468315534,12.763477442215898,1.9763417045365497
12.197639468315534,13.161375084701849,1.9763417045365497
12.197639468315534,13.5592727271878,1.9763417045365497
12.197639468315534,13.957170369673747,1.9763417045365497
12.197639468315534,14.355068012159698,1.9763417045365497
12.197639468315534,14.752965654645646,1.9763417045365497
12.197639468315534,15.150863297131597,1.9763417045365497
12.197639468315534,15.548760939617544,1.9763417045365497
12.197639468315534,15.946658582103495,1.9763417045365497
12.197639468315534,16.344556224589443,1.9763417045365497
12.197639468315534,16.742453867075394,1.9763417045365497
12.197639468315534,17.14035150956134,1.9763417045365497
12.197639468315534,17.538249152047293,1.9763417045365497
12.197639468315534,17.93614679453324,1.9763417045365497
12.197639468315534,18.33404443701919,1.9763417045365497
12.197639468315534,18.73194207950514,1.9763417045365497
12.197639468315534,19.12983972199109,1.9763417045365497
12.197639468315534,19.527737364477037,1.9763417045365497
12.197639468315534,19.925635006962988,1.9763417045365497
12.197639468315534,20.323532649448936,1.9763417045365497
12.197639468315534,20.721430291934887,1.9763417045365497
12.197639468315534,21.119327934420834,1.9763417045365497
12.197639468315534,21.517225576906785,1.9763417045365497
12.197639468315534,21.915123219392733,1.9763417045365497
12.197639468315534,22.313020861878684,1.9763417045365497
12.197639468315534,22.710918504364635,1.9763417045365497
12.197639468315534,23.108816146850582,1.9763417045365497
13.351225927347334,3.6118316650390634,2.2013399121739883
13.351225927347334,4.009729307525013,2.2013399121739883
12.128317114388535,4.407626950010962,2.2013399121739883
12.128317114388535,4.805524592496912,2.2013399121739883
12.128317114388535,5.203422234982861,2.2013399121739883
12.128317114388535,5.601319877468811,2.2013399121739883
