Q,max_IWV_ais,max_landfalling_v850hPa
15.990527626973929,3.6118316650390634,9.303757667541504
15.990527626973929,4.009729307525013,9.303757667541504
15.990527626973929,4.407626950010962,9.303757667541504
15.990527626973929,4.805524592496912,9.303757667541504
15.990527626973929,5.203422234982861,9.303757667541504
15.990527626973929,5.601319877468811,9.303757667541504
15.990527626973929,5.99921751995476,9.303757667541504
15.990527626973929,6.397115162440709,9.303757667541504
15.990527626973929,6.7950128049266585,9.303757667541504
15.990527626973929,7.192910447412608,9.303757667541504
15.990527626973929,7.590808089898557,9.303757667541504
15.990527626973929,7.988705732384506,9.303757667541504
17.282553013206414,8.386603374870457,9.303757667541504
17.282553013206414,8.784501017356405,9.303757667541504
17.282553013206414,9.182398659842356,9.303757667541504
17.282553013206414,9.580296302328303,9.303757667541504
17.279700569727833,9.978193944814254,9.303757667541504
17.279700569727833,10.376091587300202,9.303757667541504
17.279700569727833,10.773989229786153,9.303757667541504
17.279700569727833,11.1718868722721,9.303757667541504
17.279700569727833,11.569784514758052,9.303757667541504
17.279700569727833,11.967682157243999,9.303757667541504
17.279700569727833,12.36557979972995,9.303757667541504
17.279700569727833,12.763477442215898,9.303757667541504
17.279700569727833,13.161375084701849,9.303757667541504
17.279700569727833,13.5592727271878,9.303757667541504
17.279700569727833,13.957170369673747,9.303757667541504
17.279700569727833,14.355068012159698,9.303757667541504
17.279700569727833,14.752965654645646,9.303757667541504
17.279700569727833,15.150863297131597,9.303757667541504
17.279700569727833,15.548760939617544,9.303757667541504
17.279700569727833,15.946658582103495,9.303757667541504
17.279700569727833,16.344556224589443,9.303757667541504
17.279700569727833,16.742453867075394,9.303757667541504
17.279700569727833,17.14035150956134,9.303757667541504
17.279700569727833,17.538249152047293,9.303757667541504
17.279700569727833,17.93614679453324,9.303757667541504
17.279700569727833,18.33404443701919,9.303757667541504
17.279700569727833,18.73194207950514,9.303757667541504
17.279700569727833,19.12983972199109,9.303757667541504
17.279700569727833,19.527737364477037,9.303757667541504
17.279700569727833,19.925635006962988,9.303757667541504
17.279700569727833,20.323532649448936,9.303757667541504
17.279700569727833,20.721430291934887,9.303757667541504
17.279700569727833,21.119327934420834,9.303757667541504
17.279700569727833,21.517225576906785,9.303757667541504
17.279700569727833,21.915123219392733,9.303757667541504
17.279700569727833,22.313020861878684,9.303757667541504
17.279700569727833,22.710918504364635,9.303757667541504
17.279700569727833,23.108816146850582,9.303757667541504
15.990527626973929,3.6118316650390634,10.130347349205795
15.990527626973929,4.009729307525013,10.130347349205795
15.990527626973929,4.407626950010962,10.130347349205795
15.990527626973929,4.805524592496912,10.130347349205795
15.990527626973929,5.203422234982861,10.130347349205795
15.990527626973929,5.601319877468811,10.130347349205795
15.990527626973929,5.99921751995476,10.130347349205795
15.990527626973929,6.397115162440709,10.130347349205795
15.990527626973929,6.7950128049266585,10.130347349205795
15.990527626973929,7.192910447412608,10.130347349205795
15.990527626973929,7.590808089898557,10.130347349205795
15.990527626973929,7.988705732384506,10.130347349205795
17.282553013206414,8.386603374870457,10.130347349205795
17.282553013206414,8.784501017356405,10.130347349205795
17.282553013206414,9.182398659842356,10.130347349205795
17.282553013206414,9.580296302328303,10.130347349205795
17.279700569727833,9.978193944814254,10.130347349205795
17.279700569727833,10.376091587300202,10.130347349205795
17.279700569727833,10.773989229786153,10.130347349205795
17.279700569727833,11.1718868722721,10.130347349205795
17.279700569727833,11.569784514758052,10.130347349205795
17.279700569727833,11.967682157243999,10.130347349205795
17.279700569727833,12.36557979972995,10.130347349205795
17.279700569727833,12.763477442215898,10.130347349205795
17.279700569727833,13.161375084701849,10.130347349205795
17.279700569727833,13.5592727271878,10.130347349205795
17.279700569727833,13.957170369673747,10.130347349205795
17.279700569727833,14.355068012159698,10.130347349205795
17.279700569727833,14.752965654645646,10.130347349205795
17.279700569727833,15.150863297131597,10.130347349205795
17.279700569727833,15.548760939617544,10.130347349205795
17.279700569727833,15.946658582103495,10.130347349205795
17.279700569727833,16.344556224589443,10.130347349205795
17.279700569727833,16.742453867075394,10.130347349205795
17.279700569727833,17.14035150956134,10.130347349205795
17.279700569727833,17.538249152047293,10.130347349205795
17.279700569727833,17.93614679453324,10.130347349205795
17.279700569727833,18.33404443701919,10.130347349205795
17.279700569727833,18.73194207950514,10.130347349205795
17.279700569727833,19.12983972199109,10.130347349205795
17.279700569727833,19.527737364477037,10.130347349205795
17.279700569727833,19.925635006962988,10.130347349205795
17.279700569727833,20.323532649448936,10.130347349205795
17.279700569727833,20.721430291934887,10.130347349205795
17.279700569727833,21.119327934420834,10.130347349205795
17.279700569727833,21.517225576906785,10.130347349205795
17.279700569727833,21.915123219392733,10.130347349205795
17.279700569727833,22.313020861878684,10.130347349205795
17.279700569727833,22.710918504364635,10.130347349205795
17.279700569727833,23.108816146850582,10.130347349205795
15.990527626973929,3.6118316650390634,10.956937030870087
15.990527626973929,4.009729307525013,10.956937030870087
15.990527626973929,4.407626950010962,10.956937030870087
15.990527626973929,4.805524592496912,10.956937030870087
15.990527626973929,5.203422234982861,10.956937030870087
15.990527626973929,5.601319877468811,10.956937030870087
15.990527626973929,5.99921751995476,10.956937030870087
15.990527626973929,6.397115162440709,10.956937030870087
15.990527626973929,6.7950128049266585,10.956937030870087
15.990527626973929,7.192910447412608,10.956937030870087
15.990527626973929,7.590808089898557,10.956937030870087
15.990527626973929,7.988705732384506,10.956937030870087
17.282553013206414,8.386603374870457,10.956937030870087
17.282553013206414,8.784501017356405,10.956937030870087
17.282553013206414,9.182398659842356,10.956937030870087
17.282553013206414,9.580296302328303,10.956937030870087
17.279700569727833,9.978193944814254,10.956937030870087
17.279700569727833,10.376091587300202,10.956937030870087
17.279700569727833,10.773989229786153,10.956937030870087
17.279700569727833,11.1718868722721,10.956937030870087
17.279700569727833,11.569784514758052,10.956937030870087
17.279700569727833,11.967682157243999,10.956937030870087
17.279700569727833,12.36557979972995,10.956937030870087
17.279700569727833,12.763477442215898,10.956937030870087
17.279700569727833,13.161375084701849,10.956937030870087
17.279700569727833,13.5592727271878,10.956937030870087
17.279700569727833,13.957170369673747,10.956937030870087
17.279700569727833,14.355068012159698,10.956937030870087
17.279700569727833,14.752965654645646,10.956937030870087
17.279700569727833,15.150863297131597,10.956937030870087
17.279700569727833,15.548760939617544,10.956937030870087
17.279700569727833,15.946658582103495,10.956937030870087
17.279700569727833,16.344556224589443,10.956937030870087
17.279700569727833,16.742453867075394,10.956937030870087
17.279700569727833,17.14035150956134,10.956937030870087
17.279700569727833,17.538249152047293,10.956937030870087
17.279700569727833,17.93614679453324,10.956937030870087
17.279700569727833,18.33404443701919,10.956937030870087
