Q,max_IWV_ais
13.213518843771991,3.6118316650390634
13.213518843771991,4.009729307525013
12.001307616319076,4.407626950010962
12.001307616319076,4.805524592496912
12.001307616319076,5.203422234982861
12.001307616319076,5.601319877468811
12.001307616319076,5.99921751995476
12.001307616319076,6.397115162440709
12.001307616319076,6.7950128049266585
12.001307616319076,7.192910447412608
12.001307616319076,7.590808089898557
12.001307616319076,7.988705732384506
12.071282731285272,8.386603374870457
12.071282731285272,8.784501017356405
12.071282731285272,9.182398659842356
12.071282731285272,9.580296302328303
12.06919287757479,9.978193944814254
12.06919287757479,10.376091587300202
12.06919287757479,10.773989229786153
12.068999554456704,11.1718868722721
12.068999554456704,11.569784514758052
12.068999554456704,11.967682157243999
12.068999554456704,12.36557979972995
12.068999554456704,12.763477442215898
12.068999554456704,13.161375084701849
12.068999554456704,13.5592727271878
12.068999554456704,13.957170369673747
12.068999554456704,14.355068012159698
12.068999554456704,14.752965654645646
12.068999554456704,15.150863297131597
12.068999554456704,15.548760939617544
12.068999554456704,15.946658582103495
12.068999554456704,16.344556224589443
12.068999554456704,16.742453867075394
12.068999554456704,17.14035150956134
12.068999554456704,17.538249152047293
12.068999554456704,17.93614679453324
12.068999554456704,18.33404443701919
12.068999554456704,18.73194207950514
12.068999554456704,19.12983972199109
12.068999554456704,19.527737364477037
12.068999554456704,19.925635006962988
12.068999554456704,20.323532649448936
12.068999554456704,20.721430291934887
12.068999554456704,21.119327934420834
12.068999554456704,21.517225576906785
12.068999554456704,21.915123219392733
12.068999554456704,22.313020861878684
12.068999554456704,22.710918504364635
12.068999554456704,23.108816146850582
