Q,cumulative_landfalling_area
0.014413344293502148,177
0.38380992034520406,149889.7142857143
0.5140808366438188,299602.4285714286
0.6971058770238754,449315.14285714284
0.6971058770238754,599027.8571428572
0.7508525545760618,748740.5714285715
0.7508525545760618,898453.2857142857
0.7508525545760618,1048166
0.9252163800910366,1197878.7142857143
0.9252163800910366,1347591.4285714286
0.9252163800910366,1497304.142857143
0.9252163800910366,1647016.8571428573
1.256087245435882,1796729.5714285714
1.256087245435882,1946442.2857142857
1.256087245435882,2096155
1.256087245435882,2245867.7142857146
1.256087245435882,2395580.4285714286
1.9914450861689612,2545293.1428571427
209029.31979505604,2695005.8571428573
209029.31979505604,2844718.5714285714
209029.31979505604,2994431.285714286
209029.31979505604,3144144
209029.31979505604,3293856.7142857146
209029.31979505604,3443569.4285714286
209029.31979505604,3593282.1428571427
209029.31979505604,3742994.8571428573
209029.31979505604,3892707.5714285714
209029.31979505604,4042420.285714286
209029.31979505604,4192133
209029.31979505604,4341845.714285715
209029.31979505604,4491558.428571429
209029.31979505604,4641271.142857143
209029.31979505604,4790983.857142857
209029.31979505604,4940696.571428572
209029.31979505604,5090409.285714285
209029.31979505604,5240122
209029.31979505604,5389834.714285715
209029.31979505604,5539547.428571429
209029.31979505604,5689260.142857143
209029.31979505604,5838972.857142857
209029.31979505604,5988685.571428572
209029.31979505604,6138398.285714285
209029.31979505604,6288111
209029.31979505604,6437823.714285715
209029.31979505604,6587536.428571429
209029.31979505604,6737249.142857143
209029.31979505604,6886961.857142857
209029.31979505604,7036674.571428572
209029.31979505604,7186387.285714285
209029.31979505604,7336100
