Q,max_ocean_SLP_gradient
0.5842490048367831,1.9763417045365497
0.5842490048367831,2.2013399121739883
0.5842490048367831,2.426338119811427
0.5842490048367831,2.651336327448866
0.5842490048367831,2.8763345350863045
0.5842490048367831,3.101332742723743
0.5842490048367831,3.326330950361182
0.5842490048367831,3.551329157998621
0.5842490048367831,3.7763273656360594
0.5842490048367831,4.001325573273498
0.5842490048367831,4.226323780910937
0.5842490048367831,4.451321988548376
0.5842490048367831,4.676320196185815
0.5842490048367831,4.901318403823253
0.5781842475183381,5.126316611460692
0.5781842475183381,5.35131481909813
0.5781842475183381,5.576313026735569
0.5781842475183381,5.801311234373008
0.5781842475183381,6.026309442010446
0.5781842475183381,6.251307649647885
0.6531746376824226,6.476305857285324
0.6531746376824226,6.701304064922763
0.6531746376824226,6.926302272560202
0.6531746376824226,7.15130048019764
0.6531746376824226,7.376298687835079
0.6531746376824226,7.601296895472518
0.6531746376824226,7.826295103109956
0.8365581107022664,8.051293310747395
0.8365581107022664,8.276291518384834
0.8365581107022664,8.501289726022272
0.8365581107022664,8.726287933659712
0.8365581107022664,8.95128614129715
0.8365581107022664,9.176284348934589
0.8365581107022664,9.401282556572028
0.8365581107022664,9.626280764209465
0.8365581107022664,9.851278971846906
0.9016598610930937,10.076277179484343
1.1399438673273967,10.301275387121782
1.1399438673273967,10.526273594759221
1.1399438673273967,10.75127180239666
1.1399438673273967,10.976270010034098
1.1399438673273967,11.201268217671537
1.1399438673273967,11.426266425308976
1.1399438673273967,11.651264632946415
1.1399438673273967,11.876262840583854
1.1399438673273967,12.101261048221293
1.1399438673273967,12.32625925585873
1.1399438673273967,12.551257463496169
1.1399438673273967,12.776255671133608
1.1399438673273967,13.001253878771047
