Q,max_south_extent
0.737635548056004,-85
0.7259818192447803,-84.56122448979592
0.7259818192447803,-84.12244897959184
0.7259818192447803,-83.68367346938776
0.7259818192447803,-83.24489795918367
0.7259818192447803,-82.8061224489796
0.7259818192447803,-82.36734693877551
0.7259818192447803,-81.92857142857143
0.7259818192447803,-81.48979591836735
0.7259818192447803,-81.05102040816327
0.7259818192447803,-80.61224489795919
0.7259818192447803,-80.1734693877551
0.7259818192447803,-79.73469387755102
0.7259818192447803,-79.29591836734694
0.7259818192447803,-78.85714285714286
0.7259818192447803,-78.41836734693878
0.7259818192447803,-77.9795918367347
0.7259818192447803,-77.54081632653062
0.7259818192447803,-77.10204081632654
0.7259818192447803,-76.66326530612245
0.7259818192447803,-76.22448979591837
0.7259818192447803,-75.78571428571429
0.7259818192447803,-75.34693877551021
0.7259818192447803,-74.90816326530611
0.7259818192447803,-74.46938775510205
0.7259818192447803,-74.03061224489795
0.7259818192447803,-73.59183673469389
0.7259818192447803,-73.15306122448979
0.7259818192447803,-72.71428571428572
0.7259818192447803,-72.27551020408163
0.7259818192447803,-71.83673469387755
0.7259818192447803,-71.39795918367346
0.7259818192447803,-70.95918367346938
0.7259818192447803,-70.5204081632653
0.7259818192447803,-70.08163265306122
0.7259818192447803,-69.64285714285714
0.7259818192447803,-69.20408163265306
0.7259818192447803,-68.76530612244898
0.7259818192447803,-68.3265306122449
0.7259818192447803,-67.88775510204081
0.7259818192447803,-67.44897959183673
0.7259818192447803,-67.01020408163265
26770063166313308e6,-66.57142857142857
26770063166313308e6,-66.13265306122449
26770063166313308e6,-65.6938775510204
26770063166313308e6,-65.25510204081633
26770063166313308e6,-64.81632653061224
26770063166313308e6,-64.37755102040816
26770063166313308e6,-63.93877551020408
26770063166313308e6,-63.5
