Q,cumulative_landfalling_area
10.903556904081565,153
11.465203814958214,149866.20408163266
11.465203814958214,299579.4081632653
13.18885255663261,449292.612244898
13.18885255663261,599005.8163265307
13.18885255663261,748719.0204081633
13.18885255663261,898432.224489796
13.18885255663261,1048145.4285714286
13.18885255663261,1197858.6326530613
13.18885255663261,1347571.836734694
13.18885255663261,1497285.0408163266
13.18885255663261,1646998.2448979593
13.18885255663261,1796711.448979592
13.18885255663261,1946424.6530612246
13.18885255663261,2096137.8571428573
13.18885255663261,2245851.06122449
13.18885255663261,2395564.2653061226
13.18885255663261,2545277.4693877553
13.18885255663261,2694990.673469388
13.18885255663261,2844703.8775510206
13.18885255663261,2994417.0816326533
13.18885255663261,3144130.285714286
13.18885255663261,3293843.4897959186
13.18885255663261,3443556.6938775512
13.18885255663261,3593269.897959184
13.18629881744011,3742983.1020408166
13.18629881744011,3892696.306122449
13.18629881744011,4042409.510204082
13.18629881744011,4192122.7142857146
13.18629881744011,4341835.918367347
13.18629881744011,4491549.12244898
13.18629881744011,4641262.326530613
13.18629881744011,4790975.530612245
13.18629881744011,4940688.734693877
13.18629881744011,5090401.9387755105
13.18629881744011,5240115.142857144
13.18629881744011,5389828.346938776
13.18629881744011,5539541.551020408
13.18629881744011,5689254.755102041
13.18629881744011,5838967.959183674
13.18629881744011,5988681.1632653065
13.18629881744011,6138394.367346939
13.18629881744011,6288107.571428572
13.18629881744011,6437820.775510205
13.18629881744011,6587533.979591837
13.18629881744011,6737247.183673469
13.18629881744011,6886960.3877551025
13.18629881744011,7036673.591836736
13.18629881744011,7186386.795918368
13.18629881744011,7336100
