Q,max_south_extent
12.151880743179584,-85
12.151880743179584,-84.58163265306122
12.151880743179584,-84.16326530612245
12.151880743179584,-83.74489795918367
12.151880743179584,-83.3265306122449
12.151880743179584,-82.90816326530613
12.151880743179584,-82.48979591836735
12.151880743179584,-82.07142857142857
12.151880743179584,-81.65306122448979
12.151880743179584,-81.23469387755102
12.151880743179584,-80.81632653061224
12.151880743179584,-80.39795918367346
12.151880743179584,-79.9795918367347
12.151880743179584,-79.56122448979592
12.151880743179584,-79.14285714285714
12.151880743179584,-78.72448979591837
12.151880743179584,-78.3061224489796
12.151882063168824,-77.88775510204081
12.151882063168824,-77.46938775510205
12.151882063168824,-77.05102040816327
12.151882063168824,-76.63265306122449
12.151882063168824,-76.21428571428571
12.151882063168824,-75.79591836734694
12.151882063168824,-75.37755102040816
12.151882063168824,-74.95918367346938
12.151882063168824,-74.54081632653062
12.151882063168824,-74.12244897959184
11.94121854207978,-73.70408163265306
11.94121854207978,-73.28571428571428
11.94121854207978,-72.86734693877551
11.941218014757077,-72.44897959183673
11.941218014757077,-72.03061224489795
11.941218014757077,-71.61224489795919
11.941218014757077,-71.1938775510204
11.941218014757077,-70.77551020408163
11.941218014757077,-70.35714285714286
11.941218014757077,-69.93877551020408
11.941218014757077,-69.5204081632653
11.941218014757077,-69.10204081632654
11.367587233437618,-68.68367346938776
11.367587233437618,-68.26530612244898
11.367587233437618,-67.84693877551021
11.367587233437618,-67.42857142857143
11.367587233437618,-67.01020408163265
11.367587233437618,-66.59183673469389
11.367587233437618,-66.1734693877551
11.367587233437618,-65.75510204081633
11.367587233437618,-65.33673469387755
11.367587233437618,-64.91836734693877
11.367587233437618,-64.5
