cluster,is_landfalling,max_area,mean_area,mean_landfalling_area,cumulative_landfalling_area,duration,start_date,end_date,max_south_extent,max_T2m_ais,avg_V10m_ais,max_V10m_ais,avg_IWV_ais,max_IWV_ais,avg_IWV,max_IWV,min_ocean_SLP,max_ocean_SLP_gradient,max_T2M_anomaly_ais,avg_vIVT_ais,max_vIVT_ais,avg_vIVT,max_vIVT,cumulative_rainfall_ais,cumulative_snowfall_ais,max_landfalling_v850hPa,avg_landfalling_v850hPa
1.0,True,1906980.7734750542,1688673.2594126232,14234.801359045756,26690.252548210796,45.0,1980-01-02 00:00:00,1980-01-03 18:00:00,-74.5,273.4848937988281,0.4416642897627895,6.536886692047119,14.500948172517456,19.393877029418945,22.904515126816545,38.6655387878418,95450.703125,4.899357726219426,4.7333984375,185.94650618687623,278.4291687011719,446.2998775468564,1057.4580078125,9535485009.74176,479409079224.7866,26.41333770751953,17.157453375424755
3.0,True,1755659.7329301129,1348961.3284281208,190118.717570188,332707.75574782904,45.0,1980-01-06 18:00:00,1980-01-08 12:00:00,-74.0,275.1007080078125,-3.8759036136280023,5.95340633392334,6.442447197171317,15.271224021911621,20.378571251306756,31.527149200439453,96790.328125,5.984890208056037,9.100540161132812,54.481882351040056,236.8226776123047,390.79153019084,800.9047241210938,142910148349.8198,6217643706322.64,27.33218765258789,16.166067475829013
11.0,True,735749.6864852197,700883.9420661472,210763.10543029002,52690.77635757251,6.0,1980-01-11 12:00:00,1980-01-11 15:00:00,-85.0,271.99468994140625,7.355231248702143,16.90167808532715,6.739541132684287,9.8770112991333,11.383916124552243,16.072322845458984,98019.34375,2.8671545957537066,4.731719970703125,93.24049980464068,178.43650817871094,199.6957127348511,342.89697265625,14866456766.554499,1066740012230.3894,23.885662078857422,18.191478570352803
12.0,True,1466805.7367814195,1207427.1297130198,119788.42697654679,149735.53372068348,33.0,1980-01-12 03:00:00,1980-01-13 09:00:00,-85.0,273.4300537109375,3.8365477071475214,15.165770530700684,9.54197478689657,12.215693473815918,22.295308272241662,46.9973030090332,97403.515625,4.138896749967381,8.239501953125,94.09527567231757,203.3032989501953,429.01431634622486,1215.8524169921875,24419528601.290474,2718184777635.167,27.47947883605957,16.801240286072247
13.0,True,2564243.6511244196,1901876.0129890644,1069995.2203834436,1604992.8305751653,48.0,1980-01-14 12:00:00,1980-01-16 09:00:00,-85.0,275.6299743652344,3.3973693792134836,16.299179077148438,3.95987195757416,16.230388641357422,9.72807525915435,34.130428314208984,97585.1953125,3.9841463191498714,12.359954833984375,49.961330813034984,358.4985046386719,155.4537905887204,852.7078247070312,347360783503.7396,14106844446652.852,24.461036682128906,15.046944413046763
14.0,True,1919206.628848336,1661710.4992317327,980.0287018338169,857.5251141045898,21.0,1980-01-17 06:00:00,1980-01-18 00:00:00,-69.5,270.7112121582031,0.7781446699038918,1.731905460357666,8.435712934682565,9.083024978637695,25.850195020693878,42.99241638183594,98140.71875,4.265896077931395,3.037811279296875,91.88876703948603,99.3427963256836,453.8548703150902,974.5228271484375,5040664.514074605,69093967650.60529,26.42292594909668,16.429629327472096
15.0,True,2525372.306157175,1772728.1249039888,213154.3637102087,532885.9092755218,60.0,1980-01-17 09:00:00,1980-01-19 18:00:00,-85.0,273.436767578125,0.20968937669032592,8.397171020507812,6.4719185833966,16.229188919067383,17.520490933857488,48.356956481933594,97397.65625,3.767811702113578,8.477935791015625,35.498313669112015,151.04830932617188,289.51438517004806,1187.1492919921875,2668027555.9015026,2377427010143.4062,25.958396911621094,14.84312466035306
27.0,True,1543501.6681024262,1224736.2669857652,216648.99956404205,541622.4989101051,63.0,1980-02-07 18:00:00,1980-02-10 06:00:00,-76.0,271.3409729003906,-3.729335060421612,5.381145000457764,4.8295237652169964,12.865618705749512,19.12783771616059,42.0587158203125,97705.484375,6.584867182423457,11.695755004882812,50.775509807250806,177.10472106933594,385.8452085599286,827.0672607421875,0.0,7558993216841.231,28.57518768310547,18.377010305774462
29.0,True,2288201.848594635,1687194.548705399,184419.4677733876,368838.9355467752,48.0,1980-02-09 12:00:00,1980-02-11 09:00:00,-85.0,273.4013366699219,8.536497285617738,21.346343994140625,6.948929975108395,12.59685230255127,26.096382533671402,52.35287857055664,96840.25,3.877220769431607,15.95703125,106.32558958000465,253.10549926757812,570.1525111697624,1393.791259765625,327436400.41621745,4071574625270.923,38.531131744384766,22.78344047201616
32.0,True,430513.47131234076,356090.919857686,5461.5367311151285,2048.0762741681733,9.0,1980-02-11 03:00:00,1980-02-11 09:00:00,-71.5,266.605224609375,0.5089362077041422,4.942512512207031,10.946288991998603,11.532064437866211,14.619900008139155,18.570852279663086,96832.203125,4.043010037372526,1.089996337890625,103.11026150299746,120.7286376953125,149.39642025472665,248.80606079101562,0.0,62784319799.45997,15.239788055419922,10.90269907015167
