cumulative_landfalling_area,max_south_extent,max_IWV_ais,max_ocean_SLP_gradient,max_landfalling_v850hPa,avg_landfalling_minomega
0.12432786612628094,0.011864404904780579,-0.08220559975147743,-0.062376765590035355,-0.07565537435400568,-0.05213857190444998
-0.12436974338020337,-0.019865732271432984,-0.14224734948081721,-0.04539717823354797,0.042511824159698924,-0.11365591890791149
0.3161442148740601,0.02258994690732781,-0.0781869146301177,-0.07086082132691088,-0.14415810468598228,-0.0960739817914201
-0.17967159307725344,0.01594459416662375,-0.09529253977483493,-0.022739102964369873,-0.19260515088749597,-0.08442887158721035
0.11980964888523171,0.006443411076805364,-0.08989866129123517,-0.032886871441118265,-0.07827331611964158,-0.0359823216861197
-0.21529092261998595,0.00620554293170153,0.24527270940038476,-0.065367806219667507,-0.13369929173773432,-0.07752515799641535
0.3312637536778707,0.0167760043205758,-0.08485167705977134,-0.035487612346196976,-0.07813456344494397,-0.10532048967536879
0.09750139861071735,-0.0043817073360886555,-0.10579801308814676,-0.08521564552245159,0.04939202243028385,-0.09178159362823576
0.3425841680038362,0.0024403754127508698,-0.09999284601242861,-0.09296209900192459,0.055366227707614304,-0.041939009235925084
0.2475835862977038,-0.054873819488365116,0.38183204694064127,-0.10056657145218534,0.08113253745836972,-0.10196038501354887
0.12158213127110692,0.022433188589481304,-0.08308570663650378,-0.06264586925287591,-0.0717215388600162,-0.07418421607865336
0.11024138051764304,0.013211021493407082,-0.082919981022293393,-0.060285716995917255,-0.1337815072151402,-0.0721358973027349
-0.20155881446249585,0.008798888267741889,-0.36107455203387523,0.0868251956957633,-0.08547716010661913,0.022508937118306593
-0.37162481823671495,0.02157639458656463,-0.23290676062482196,-0.05155640866225031,-0.09913613880752326,-0.04371419929222542
-0.05571917387154607,0.012978572248436376,-0.0873331633419624,-0.06097793979201327,-0.13322104886217873,0.05993221292431555
-0.15400910028818254,0.01756474236310468,-0.20151388886856414,-0.054435077644567786,-0.07017536030423441,-0.08121368449479771
-0.4389102568565398,0.012289888852907938,-0.11355060016769059,-0.0662227873856413,-0.1725605957031934,0.026731106896289103
0.34622370177711437,0.023438044465018147,-0.07531179674591693,-0.06517096046209192,-0.08799875349610764,-0.07544581760560563
-0.5149047515662795,0.0187841330411056,-0.09814925817258763,-0.0569863167068812,-0.08509815256191136,0.03585103438438941
-0.20560619114594864,-0.002816423531350448,-0.11854011320038566,-0.040152195438644345,0.027632648751169095,0.02526054194254146
-0.14618575234892545,0.026111823932520484,-0.28888350574536087,-0.05163337340984814,-0.10821590822282928,-0.0771351381971096
-0.18336523322105064,0.014775816903232764,-0.20603600126344668,-0.024124499349115813,-0.07605972980297668,-0.08629029445018987
0.07474686336162353,0.017602357967935855,-0.09621619492214317,-0.06591340749674124,-0.1297511472623094,-0.16866254742348896
0.37741392854709965,0.02102010820716327,-0.07583974659546085,-0.0691294861360234,-0.15887603779099946,0.10527128584378864
-0.17653400616656895,0.015394102054894054,-0.3026330827043274,-0.022711576179232806,-0.07613608164841518,-0.07251696007469244
0.10342023265367883,0.006062814519604644,-0.10608906224437399,-0.07986009573536176,0.04987280762371776,-0.07042404836092585
-0.43446723843418333,0.022773335175587994,-0.21460161904300867,-0.049449402230238304,-0.07984231902371478,-0.06186150603197582
-0.4167763203396402,0.020493250877225366,-0.17197911061974513,-0.050310161668103426,-0.06984918893426967,-0.06516587739772617
-0.1668449325231017,0.012435549402050827,-0.09660055455956884,-0.02586669283665677,-0.12676244303720824,-0.05902077107526815
0.33681958328549205,0.02156407520194469,-0.07768689357477276,-0.07340770060401158,-0.07164350754507012,-0.09914069408552353
0.06926864987545249,-0.010715333694442553,-0.2987490772876612,0.10801553355504995,0.04255698950602256,-0.10513321086598587
-0.16180277162746812,0.02410126314218486,-0.09020451607293023,-0.05712212248223916,-0.07115146118530875,-0.0851450430540156
-0.18021409065998606,0.005384681622449317,-0.2277900572818305,-0.07526936358014552,0.03976726120167895,-0.09953873714676342
89945.49557361142,-20374.079476465977,-9972.869362352812,-18943.578636071343,-20358.476505528673,-20295.500392953898
0.1485428116024907,-0.0014264936150269816,-0.11391996853796381,-0.04468313571931562,0.0503314473004447,-0.07701878337709492
-0.34046031831222456,0.020097681074727092,-0.09226988087907212,-0.05132166902208174,-0.10444055671830069,-0.07682975477844445
-25341651074771006e5,11403450833430884e6,-25341651074770954e5,-25339086663629847e5,-12670469256536313e5,-2534165026460071e6
0.08548454794059002,-0.010420812114024153,-0.11494760039580879,-0.04241792699448271,0.048139801221997104,-0.11840731128874421
-0.49648944799871486,0.01812632202607023,-0.17106436055720553,-0.018887293529392946,-0.08808351689880523,-0.04993369015236193
-0.39752886843320323,0.0022988616455077437,-0.23070305797622115,-0.03757390461934301,0.033763110757034226,-7.810718672945915e-4
0.8465040890168096,-0.038649457816756216,-0.07428759201483559,-0.05435844958448621,0.17625126559555226,0.21955814086503733
-0.1929171124764031,0.010226971382504224,-0.11360467623918372,-0.07447292770655417,0.043410231033054275,-0.07190161948405305
