Label,max_area,mean_landfalling_area,cumulative_landfalling_area,duration,max_south_extent,region,max_T2M_anomaly_ais,max_IWV_ais,max_IWV_anomaly_ais,max_ocean_SLP_gradient,cumulative_rainfall_ais,cumulative_snowfall_ais,avg_landfalling_minomega,max_landfalling_v850hPa,max_vIVT_ais
1980_16,2590141,37180,65065,42,-76.0,West,15.108428955078123,13.99380588531494,9.094955444335938,5.1756959418193285,0.0,0.22634916740705693,-1.0390840793516942,32.70989227294922,216.10888671875
1980_19,2098023,653038,326519,12,-85.0,East 1,14.168930053710938,11.49944305419922,6.3732686042785645,4.593331391997518,0.0,0.5470934953039925,-0.4489514464872092,28.2919979095459,121.60336303710938
1980_20,1635508,1006829,125853,3,-85.0,East 2,19.336944580078125,9.966053009033203,6.193729400634766,7.078068369194453,0.0,0.1152156582126751,-0.1527062785894422,19.634397506713867,103.93334197998048
1980_21,1304807,153,173,27,-69.0,East 1,6.727630615234375,9.399429321289062,4.580551624298096,4.255461197933738,0.0,0.002782839801255817,-0.4162494838237763,23.74358940124512,101.03836059570312
1980_22,1054372,64972,64972,24,-73.5,East 1,9.921356201171877,11.50538158416748,6.379207134246826,5.508188539564047,0.0,0.24822896323456475,-0.649528126464471,30.970983505249023,154.37611389160156
1980_24,1540489,388270,922142,57,-85.0,West,23.72589111328125,14.971168518066406,10.899404525756836,2.7539249274990896,0.00036187022482890157,1.2793384026383763,-0.5347154306023668,28.20633316040039,268.90362548828125
1980_25,832460,31625,3953,3,-74.5,West,17.311813354492188,12.66761589050293,8.524826049804688,2.723315897715308,0.0,0.03633276248194953,-0.665974878359835,22.37271881103516,149.56570434570312
1980_26,4240010,1900814,5702442,72,-85.0,East 1,32.22190856933594,19.508277893066406,17.005889892578125,5.83779628015084,0.0006897095676635899,3.8812604820091297,-0.2483450311733023,33.354888916015625,707.450439453125
1980_27,2844201,1022599,1789548,42,-84.5,East 2,28.356475830078125,12.54844093322754,9.781868934631348,6.499641308359657,0.0,1.578124814181703,-0.6555937166888895,29.5982666015625,162.5799560546875
1980_28,2150388,338156,1056738,75,-85.0,East 1,29.46772766113281,17.052793502807617,10.908254623413086,5.760826610385811,0.0006062340274368261,0.9318255298479615,-0.359295863142514,33.91910934448242,337.7390441894531
1980_29,151850,147759,18469,3,-73.0,East 1,19.226974487304688,6.479457378387451,3.944873571395874,4.187236438829695,0.0,0.04200526105579267,-0.9773663750096768,17.015430450439453,81.32280731201172
1980_30,1745183,619246,851463,33,-85.0,West,31.66371154785156,10.981760025024414,7.56336784362793,4.16437345328978,0.0,1.3651618260301233,-0.7836850919538896,28.197904586791992,331.8011474609375
1980_31,1503990,512038,256019,12,-85.0,West,22.724777221679688,12.83415412902832,9.046832084655762,4.370689561478682,0.00016496521962436404,0.6825529689948873,-0.5395207392959004,30.365154266357425,304.8280639648437
1980_32,2584489,1331379,3661292,66,-84.5,East 2,33.009857177734375,13.17520809173584,10.13270664215088,5.440020387719,2.094356968789504e-05,2.8830342265819078,-0.4074771529748256,28.65093421936035,213.8500061035156
1980_35,1372728,193252,217408,27,-74.5,East 2,18.480697631835938,11.080195426940918,7.5346832275390625,6.4889298256431625,0.0,0.8001400931471955,-0.7096654785123477,32.31876754760742,235.9899139404297
1980_36,1248679,592863,370539,15,-85.0,West,20.17793273925781,11.743803977966309,7.632505893707275,5.0365813503423125,0.0,1.014374025571847,-0.5138748130178994,23.65346336364746,246.22866821289065
1980_38,1620783,315136,748450,57,-85.0,East 1,25.637252807617188,7.271962165832519,4.709527015686035,4.896570721363407,0.0,0.7319375618690696,-0.9649230975836888,36.02071762084961,264.9281616210937
1980_39,2585387,98365,233619,57,-77.0,West,22.26264953613281,9.902865409851074,4.796013355255127,5.517668410746269,9.836491517477342e-06,0.42016652827201384,-1.4420344829559328,31.156986236572266,291.6310119628906
