date	temp2m	ewvf	swvf	latitude	longitude
2000-06-19	-63.948303	0.5081548	-1.312365	-75.0	123.0
2000-06-20	-57.120483	-0.15655094	0.72497654	-75.0	123.0
2000-06-21	-59.464035	2.526321	1.9908972	-75.0	123.0
2000-06-22	-51.021408	2.5118916	4.460702	-75.0	123.0
2000-06-23	-50.575684	8.237404	3.9599078	-75.0	123.0
2000-06-24	-54.32274	7.2918086	-1.647726	-75.0	123.0
2000-06-25	-49.63179	3.5661862	-6.5082154	-75.0	123.0
2000-06-26	-50.580307	4.2357016	-1.1568222	-75.0	123.0
2000-06-27	-47.09932	10.424872	1.6717198	-75.0	123.0
2000-06-28	-55.375366	5.788285	-4.2254214	-75.0	123.0
2000-06-29	-57.087326	1.5836122	-2.254613	-75.0	123.0
2000-06-30	-56.81357	2.7167864	-1.8239479	-75.0	123.0
2000-07-01	-57.23848	2.7341015	1.0998974	-75.0	123.0
2000-07-02	-60.289932	2.3656757	0.7942066	-75.0	123.0
2000-07-03	-68.21742	1.180556	-0.14264679	-75.0	123.0
2000-07-04	-64.286835	1.4402821	-0.08780241	-75.0	123.0
2000-07-05	-60.24829	3.512317	-0.15883064	-75.0	123.0
2000-07-06	-41.96649	3.3054984	10.288612	-75.0	123.0
2000-07-07	-40.436523	1.8260231	13.537031	-75.0	123.0
2000-07-08	-49.080414	1.5422485	2.6805005	-75.0	123.0
2000-07-09	-55.7648	1.1170676	0.35724783	-75.0	123.0
2000-07-10	-62.70366	0.9352595	0.3707342	-75.0	123.0
2000-07-11	-57.342575	2.8957088	1.2958994	-75.0	123.0
2000-07-12	-56.93695	3.4141986	2.1868992	-75.0	123.0
2000-07-13	-57.92943	5.1014543	-0.9752059	-75.0	123.0
2000-07-14	-61.506058	5.310197	-1.4661098	-75.0	123.0
2000-07-15	-61.836884	3.0813646	-1.0192614	-75.0	123.0
2000-07-16	-46.349747	2.1790578	-0.44653988	-75.0	123.0
2000-07-17	-44.12033	9.917926	-0.55802727	-75.0	123.0
2000-07-18	-50.02739	9.477354	-0.8502321	-75.0	123.0
2000-07-19	-61.72815	1.5903459	0.09920883	-75.0	123.0
2000-07-20	-57.523804	0.23784757	2.0942929	-75.0	123.0
2000-07-21	-52.712555	-2.6903207	3.6146564	-75.0	123.0
2000-07-22	-53.9572	0.12433773	0.7960048	-75.0	123.0
2000-07-23	-58.96817	0.010827959	1.1088886	-75.0	123.0
2000-07-24	-57.860794	0.63897973	0.7798209	-75.0	123.0
2000-07-25	-61.038727	0.57452923	-0.72885466	-75.0	123.0
2000-07-26	-61.542297	-0.09498626	-1.2071714	-75.0	123.0
2000-07-27	-53.6873	1.3363917	0.733068	-75.0	123.0
2000-07-28	-52.867554	5.5333686	2.6625187	-75.0	123.0
2000-07-29	-52.776566	3.6710384	2.5555267	-75.0	123.0
2000-07-30	-58.005005	3.401693	0.23497152	-75.0	123.0
2000-07-31	-59.302856	2.2040684	0.091116905	-75.0	123.0
