date	expver	temp2m	ewvf	swvf	latitude	longitude
2000-03-07	1	-46.79988			-75.0	123.0
2000-03-07	5				-75.0	123.0
2000-03-08	1	-51.441757			-75.0	123.0
2000-03-08	5				-75.0	123.0
2000-03-09	1	-51.53366			-75.0	123.0
2000-03-09	5				-75.0	123.0
2000-03-10	1	-48.393127			-75.0	123.0
2000-03-10	5				-75.0	123.0
2000-03-11	1	-49.67708			-75.0	123.0
2000-03-11	5				-75.0	123.0
2000-03-12	1	-49.439377			-75.0	123.0
2000-03-12	5				-75.0	123.0
2000-03-13	1	-48.606964			-75.0	123.0
2000-03-13	5				-75.0	123.0
2000-03-14	1	-55.04532			-75.0	123.0
2000-03-14	5				-75.0	123.0
2000-03-15	1	-55.707184			-75.0	123.0
2000-03-15	5				-75.0	123.0
2000-03-16	1	-53.301865			-75.0	123.0
2000-03-16	5				-75.0	123.0
2000-03-17	1	-49.963394			-75.0	123.0
2000-03-17	5				-75.0	123.0
2000-03-18	1	-46.750397			-75.0	123.0
2000-03-18	5				-75.0	123.0
2000-03-19	1	-51.6344			-75.0	123.0
2000-03-19	5				-75.0	123.0
2000-03-20	1	-53.50598			-75.0	123.0
2000-03-20	5				-75.0	123.0
2000-03-21	1	-53.215256			-75.0	123.0
2000-03-21	5				-75.0	123.0
2000-03-22	1	-55.791138			-75.0	123.0
2000-03-22	5				-75.0	123.0
2000-03-23	1	-57.54785			-75.0	123.0
2000-03-23	5				-75.0	123.0
2000-03-24	1	-57.282745			-75.0	123.0
2000-03-24	5				-75.0	123.0
2000-03-25	1	-57.68747			-75.0	123.0
2000-03-25	5				-75.0	123.0
2000-03-26	1	-58.602936			-75.0	123.0
2000-03-26	5				-75.0	123.0
2000-03-27	1	-57.133408			-75.0	123.0
2000-03-27	5				-75.0	123.0
2000-03-28	1	-44.995453			-75.0	123.0
2000-03-28	5				-75.0	123.0
2000-03-29	1	-42.60869			-75.0	123.0
2000-03-29	5				-75.0	123.0
2000-03-30	1	-41.75241			-75.0	123.0
2000-03-30	5				-75.0	123.0
2000-03-31	1	-45.584854			-75.0	123.0
2000-03-31	5				-75.0	123.0
2000-04-01	1		-1.2829915	-0.84034204	-75.0	123.0
2000-04-01	5		-1.2829915	-0.84034204	-75.0	123.0
2000-04-02	1		-1.8255298	-1.1487303	-75.0	123.0
2000-04-02	5		-1.8255298	-1.1487303	-75.0	123.0
2000-04-03	1		2.5369022	-1.1694093	-75.0	123.0
2000-04-03	5		2.5369022	-1.1694093	-75.0	123.0
2000-04-04	1		1.9029789	-2.7778845	-75.0	123.0
2000-04-04	5		1.9029789	-2.7778845	-75.0	123.0
2000-04-05	1		-1.145433	-0.7486348	-75.0	123.0
2000-04-05	5		-1.145433	-0.7486348	-75.0	123.0
2000-04-06	1		-0.7000513	-0.7962866	-75.0	123.0
2000-04-06	5		-0.7000513	-0.7962866	-75.0	123.0
2000-04-07	1		-1.052124	-1.3303471	-75.0	123.0
2000-04-07	5		-1.052124	-1.3303471	-75.0	123.0
2000-04-08	1		0.57837695	-1.1891894	-75.0	123.0
2000-04-08	5		0.57837695	-1.1891894	-75.0	123.0
2000-04-09	1		0.80732054	-1.4634123	-75.0	123.0
2000-04-09	5		0.80732054	-1.4634123	-75.0	123.0
2000-04-10	1		2.9428442	-2.6708922	-75.0	123.0
2000-04-10	5		2.9428442	-2.6708922	-75.0	123.0
