cluster,is_landfalling,max_area,mean_area,mean_landfalling_area,cumulative_landfalling_area,duration,start_date,end_date,max_south_extent,max_T2m_ais,avg_V10m_ais,max_V10m_ais,avg_V10m,max_V10m,avg_IWV_ais,max_IWV_ais,avg_IWV,max_IWV,landfalling_SLP,max_T2M_anomaly_ais,avg_vIVT_ais,max_vIVT_ais,avg_vIVT,max_vIVT,cumulative_rainfall_ais,cumulative_snowfall_ais
2760.0,True,2172301.4903157325,1568066.3782063173,377028.6505956811,801185.8825158223,51.0,1995-02-20 09:00:00,1995-02-22 09:00:00,-75.5,272.11883544921875,0.3285768454615112,19.001020431518555,9.169889043377486,21.19619369506836,5.08032851234803,15.88383960723877,19.0926488717328,46.50168991088867,97808.015625,9.7818603515625,79.45712866389769,379.44488525390625,414.3792223047877,1142.0826416015625,0.0,14741299482499.424
2763.0,True,1883910.0161146945,1331250.9176432125,217919.16733803923,544797.9183450982,60.0,1995-03-07 12:00:00,1995-03-09 21:00:00,-76.5,271.387451171875,-0.13007597937441895,15.978703498840332,11.321869211969565,22.002132415771484,3.4675378766229916,11.226822853088379,17.98839142335452,54.98854064941406,97445.34375,14.589019775390625,50.54656063731066,287.8049621582031,416.5758722325701,1387.849853515625,3541560.088699671,7116149028216.881
2768.0,True,125102.8204349751,125102.8204349751,38115.339050922405,4764.417381365301,3.0,1995-03-12 21:00:00,1995-03-12 21:00:00,-74.5,268.7340087890625,7.332886160637021,9.195711135864258,5.649047947355061,9.195711135864258,9.269709013912877,10.558823585510254,10.94795584122097,12.394761085510254,97218.984375,11.156494140625,128.25554278178873,151.07362365722656,131.22475764018208,151.36810302734375,0.0,214159517539.51654
2771.0,True,670455.1190595088,582055.3133820073,23888.22893791745,11944.114468958725,18.0,1995-03-15 12:00:00,1995-03-16 03:00:00,-69.0,257.36224365234375,-10.386714392447796,0.0,11.478322352137194,18.778963088989258,3.5201446897084403,6.8133225440979,19.368604240881456,32.19910430908203,95461.78125,6.68023681640625,60.40428198161857,111.73560333251953,420.64512037785846,734.002197265625,0.0,691058459416.6653
2778.0,True,1869949.1248099501,1529076.3653780578,527978.8977792838,1253949.8822257991,57.0,1995-03-28 15:00:00,1995-03-30 21:00:00,-83.5,272.1913757324219,-0.04087542208756056,14.63489055633545,7.872774388589389,21.878000259399414,2.897363117089271,14.706246376037598,15.306678167114818,38.0418815612793,94709.65625,13.7489013671875,60.92863000660417,448.0882568359375,350.40304910481046,925.1658935546875,193493986.817483,12783685365951.256
2783.0,True,1113079.2465529225,895649.3860623937,86071.0420940949,86071.04209409488,24.0,1995-04-03 18:00:00,1995-04-04 15:00:00,-72.0,263.7245788574219,-7.382906780801196,1.5690886974334717,10.607981665029715,17.927465438842773,5.052521213424341,9.71873664855957,15.460756137072227,29.253250122070312,98415.984375,14.5294189453125,53.383138807256046,113.44773864746094,363.69777070880167,707.02490234375,0.0,1640714073197.929
2784.0,True,2452069.516894777,1832458.4802782952,653009.2872841393,2530410.98822604,99.0,1995-04-04 03:00:00,1995-04-08 03:00:00,-83.0,271.0528259277344,0.8740994539513386,14.597005844116211,6.854537769093652,20.997310638427734,4.1075023539513404,14.733898162841797,15.298965193812823,36.04246520996094,97502.96875,22.504470825195312,55.94539186349679,378.7696533203125,301.5047997779925,1152.7828369140625,0.0,20405399327311.46
2785.0,True,1324967.6697643995,1226662.8486684256,40457.99180757723,35400.74283163008,21.0,1995-04-09 18:00:00,1995-04-10 12:00:00,-76.5,273.027099609375,4.9679321816544,14.22628116607666,12.414864532405263,19.71056365966797,9.139587322569902,12.817977905273438,20.11707339475212,36.76796340942383,95339.109375,13.898956298828125,193.82634432168567,352.0771484375,409.44890080013903,770.8143920898438,7.143871904222428,1118964663019.548
2787.0,True,2601921.0090162493,2019170.8608181013,489203.3350158775,856105.8362777856,42.0,1995-04-17 21:00:00,1995-04-19 12:00:00,-85.0,272.7415771484375,11.045309051353085,27.494365692138672,11.324800109921307,27.494365692138672,4.278762097355732,16.96629524230957,12.747426353498808,29.95069694519043,95200.46875,24.773590087890625,81.46355977855534,313.03106689453125,244.6093730523709,630.087646484375,151692917.53720406,14256041999136.518
2788.0,True,2183511.7558261272,2008188.0505222476,805770.5165312885,503606.57283205533,15.0,1995-04-20 15:00:00,1995-04-21 03:00:00,-80.5,270.1172790527344,-2.27690224799836,9.118952751159668,3.2626919824943412,17.404985427856445,2.562032986953125,10.281818389892578,10.837394844175828,31.219318389892578,95631.734375,27.236572265625,32.925075563174225,133.6598663330078,182.2926911733696,741.0828857421875,0.0,6455038217526.742
